Volcano Number,Latitude,Longitude,Elevation (m)
243100,-18.023,-174.317,188
243101,-15.854,-173.747,546
243102,-15.62,-173.67,-33
243110,-15.6,-175.63,260
243111,-15.431,-175.725,-1170
243112,-15.333,-176.283,-1500
243120,-15.37,-174.23,-1400
243130,-15.1,-173.75,-1174
243140,-15.3675,-174.0028,-1270
244000,-14.215,-169.058,-592
244001,-14.23,-169.454,931
244010,-14.175,-169.618,639
244020,-14.2903,-170.7019,653
244021,-14.601,-169.787,-145
244030,-13.935,-171.72,1100
244040,-13.612,-172.525,1858
245010,-16.8412,-179.9644,1241
245030,-19.1181,177.9815,791
250010,-2.38,147.35,270
250030,-3.03,147.78,-1300
251001,-3.507,144.605,402
251002,-3.608,144.588,365
251010,-3.613,144.818,685
251020,-4.08,145.037,1807
251030,-4.647,145.976,1839
251041,-4.883,146.717,-5
251050,-5.358,147.12,1280
251060,-5.592,147.892,1335
251070,-5.519,148.115,75
251080,-5.4098,148.0836,947
252010,-5.525,148.42,1330
252040,-5.0455,150.0996,408
252050,-5.141,150.038,1116
252060,-5.3,150.07,565
252070,-5.416,150.027,564
252071,-5.466,150.509,796
252080,-5.5745,150.5161,724
252090,-5.5,150.942,610
252100,-5.33,151.1,1148
252110,-5.2,151.23,2248
252120,-5.05,151.33,2334
252130,-4.9156,151.1617,878
252140,-4.2459,152.1937,688
252150,-4.1089,152.2134,200
253010,-8.95,148.15,1680
253011,-9,148.37,1915
253021,-9.08,148.33,1342
253030,-9.2003,149.072,1832
253040,-9.5542,149.1278,493
253041,-9.358,150.246,220
253050,-9.5056,150.5239,194
253060,-9.62,150.88,500
255010,-5.9156,155.0008,2715
255011,-6.0898,155.2254,1544
255020,-6.137,155.196,1855
255021,-6.442,155.608,2210
255030,-6.52,155.62,1887
255050,-8.292,156.52,335
255052,-8.75,157.03,-700
255053,-8.841,157.16,-717
255060,-8.991,157.979,-20
255061,-8.92,158.03,-240
255070,-9.1324,159.8119,455
256010,-10.386,165.804,796
257001,-13.67,167.67,411
257010,-13.8,167.47,921
257020,-14.281,167.514,729
257030,-15.389,167.835,1496
257040,-16.25,168.12,1334
257050,-16.507,168.346,1413
