Volcano Number,Latitude,Longitude,Elevation (m)
344092,12.12,-86.32,360
344100,11.9844,-86.1688,594
344101,11.9,-85.979,250
344110,11.826,-85.968,1344
344111,11.73,-85.82,629
344120,11.538,-85.622,1700
345010,10.98,-85.473,1659
345020,10.83,-85.324,1916
345030,10.748,-85.153,2028
345031,10.673,-85.015,1916
345033,10.463,-84.703,1670
345034,10.3,-84.366,2267
345040,10.2,-84.233,2697
345050,10.135,-84.1,2906
345060,9.979,-83.852,3436
345070,10.025,-83.767,3340
346010,8.808,-82.543,3474
351011,5.203,-75.363,3769
351012,5.091,-75.293,3985
351020,4.892,-75.324,5279
351021,4.818,-75.365,4944
351030,4.658,-75.33,5215
351040,4.487,-75.389,2749
351050,2.93,-76.03,5364
351060,2.3095,-76.3948,4650
351061,2.108,-76.592,4400
351070,1.5,-76.936,4137
351080,1.22,-77.37,4276
351090,1.08,-77.68,4070
351100,0.95,-77.87,4764
351110,0.817,-77.938,4698
352001,0.552,-77.58,3955
352002,0.468,-78.287,4106
352003,0.308,-78.364,3246
352004,0.258,-78.183,4609
352005,0.13,-78.27,4263
352006,0.029,-77.986,5790
352010,-0.077,-77.656,3562
352011,0.0464,-78.49,3360
352020,-0.171,-78.598,4784
352021,-0.353,-78.617,4463
352022,-0.375,-78.25,4643
352030,-0.481,-78.141,5753
352031,-0.53,-78,4267
352040,-0.538,-77.626,3990
352041,-0.662,-78.716,5162
352050,-0.677,-78.436,5911
352060,-0.8592,-78.9044,3914
352071,-1.469,-78.817,6261
352080,-1.467,-78.442,5023
352081,-1.786,-78.614,3322
352090,-2.005,-78.341,5286
353010,-0.37,-91.55,1476
353011,-0.02,-91.546,790
353020,0.02,-91.35,1710
353030,-0.18,-91.28,1330
353040,-0.43,-91.12,1130
353050,-0.83,-91.17,1124
353060,-0.92,-91.408,1640
353070,0.58,-90.75,780
353080,0.33,-90.47,343
353081,0.32,-89.958,64
353090,-0.22,-90.77,920
353091,-0.62,-90.33,864
353120,-0.88,-89.5,759
354000,-14.131,-71.363,3848
354001,-15.0726,-73.1914,5001
354003,-15.52,-72.65,6377
354004,-15.42,-72.33,4713
354005,-15.78,-72.08,4554
354006,-15.787,-71.857,5960
354010,-16.2991,-71.4056,5793
354020,-16.345,-70.8972,5608
354030,-16.6144,-70.8542,4679
354031,-16.7586,-70.5981,5382
354040,-17.026,-70.372,5801
354050,-17.184,-70.196,5495
354060,-17.4852,-69.7886,5626
355011,-18.1,-69.5,5860
355012,-18.166,-69.142,6336
355020,-18.42,-69.092,6071
355030,-19.15,-68.83,5550
355032,-19.13,-68.53,5430
355040,-20.73,-68.55,5163
355050,-20.939,-68.413,5705
355090,-22.557,-67.853,5884
355091,-22.719,-67.891,5961
355092,-22.83,-67.88,5916
355093,-22.895,-67.566,5598
355094,-23,-67.75,5703
355095,-23.236,-67.645,5631
355096,-23.292,-67.618,6023
355098,-23.58,-67.7,5778
355100,-23.37,-67.73,5592
355101,-23.743,-67.534,5852
355102,-23.82,-67.77,5910
355103,-23.83,-67.95,3550
355104,-23.949,-67.74,4458
355105,-23.97,-68.13,3109
355107,-24.188,-68.054,6233
355108,-24.319,-68.59,4220
355109,-24.396,-68.246,6031
355110,-24.72,-68.53,6739
355112,-25.083,-68.367,5451
355120,-25.168,-68.507,5706
355121,-25.336,-68.521,5481
355122,-25.414,-68.588,5413
355123,-26.48,-68.58,6173
355124,-26.8,-68.37,5906
355125,-27.033,-68.296,6638
355130,-27.109,-68.541,6879
355131,-27.105,-68.713,6205
355160,-24.29,-67.783,6095
355161,-25.078,-68.266,4652
355190,-26.632,-68.361,6373
355200,-26.623,-68.116,5741
355210,-26.7657,-67.746,4670
355220,-27.196,-68.561,6658
356011,-27.114,-109.356,501
357010,-33.425,-69.797,5660
357020,-33.789,-69.895,6070
357021,-34.164,-69.832,5323
357022,-34.608,-70.295,4860
357023,-34.592,-69.921,5189
357024,-34.917,-69.981,4999
357030,-34.814,-70.352,4280
357040,-35.223,-70.568,3977
357041,-35.123,-69.9,3007
357042,-35.558,-70.496,3508
357050,-35.58,-70.75,3953
357060,-35.653,-70.761,3788
357061,-36.058,-70.492,2162
357062,-35.989,-70.849,3621
357063,-36.1959,-71.1641,3175
357064,-36.286,-71.009,2268
357065,-36.4606,-70.9033,1890
357066,-36.422,-69.241,3715
357070,-36.868,-71.378,3180
357072,-37.144,-70.033,4114
357080,-37.406,-71.349,2979
357090,-37.856,-71.183,2953
357091,-37.92,-71.45,3164
357093,-38.31,-71.645,2739
357100,-38.379,-71.586,2832
357102,-39.02,-70.37,1700
357110,-38.692,-71.729,3125
357111,-38.97,-71.52,2282
357112,-39.25,-71.75,1652
357120,-39.42,-71.93,2847
357121,-39.496,-71.722,2360
357122,-39.637,-71.502,3776
357123,-39.887,-71.58,2189
357130,-39.927,-72.027,2422
357140,-40.35,-72.07,1114
357150,-40.59,-72.117,2236
357153,-40.783,-72.15,1979
357160,-40.969,-72.264,2493
358010,-41.105,-72.496,2659
358011,-41.157,-71.885,3478
358012,-41.3,-72.27,506
358020,-41.33,-72.618,1974
358022,-41.755,-72.396,2187
358023,-41.874,-72.431,1572
358024,-41.88,-72.58,1210
358025,-42.018,-70.194,1344
358030,-42.377,-72.578,1318
358040,-42.799,-72.445,2452
358041,-42.8349,-72.6514,1122
358049,-43.469,-72.782,1790
358050,-43.189,-72.794,1826
358052,-44.08,-72.88,2400
358053,-44.3,-72.53,524
358054,-44.7,-73.08,1660
358055,-45.059,-72.984,2090
358056,-45.1,-73.17,2960
358057,-45.9,-72.97,1905
358060,-49.019,-73.504,3542
358062,-50.33,-73.75,2546
358063,-50.9395,-73.5802,1403
358064,-45.22,-73.05,1080
358070,-52.33,-73.4,1758
358080,-52.082,-69.698,282
358090,-54.97,-70.262,157
360010,17.63,-63.23,887
360020,17.478,-62.96,601
360030,17.37,-62.8,1156
360040,17.15,-62.58,985
360050,16.72,-62.18,915
360060,16.044,-61.664,1467
360080,15.612,-61.43,861
360090,15.503,-61.397,1430
360100,15.37,-61.33,1387
360101,15.307,-61.305,1224
360110,15.255,-61.341,940
360120,14.809,-61.166,1372
360140,13.83,-61.05,777
360150,13.33,-61.18,1220
360160,12.3,-61.64,-185
360170,12.15,-61.67,840
370010,64.8,-23.783,1446
370020,64.866,-23.283,986
370030,64.9,-22.483,1063
371020,63.817,-22.717,140
371022,63.733,-23,70
371030,63.917,-22.067,360
371032,63.895,-22.258,250
371040,63.933,-21.783,610
371050,64.083,-21.416,803
371051,64.083,-21.333,550
371060,64.05,-20.883,200
371070,64.583,-20.666,1385
371080,64.85,-19.7,1100
371090,64.833,-18.766,1765
372010,63.416,-20.266,283
372020,63.633,-19.633,1651
372030,63.633,-19.083,1490
372040,63.783,-19.716,1464
372050,63.892,-19.122,1280
372070,63.983,-19.666,1490
373010,64.416,-17.316,1719
373012,64.267,-17.617,1650
373030,64.633,-17.516,2000
373040,64.75,-17.916,1523
373050,64.653,-16.647,1930
373060,65.033,-16.783,1080
373070,65.416,-16.666,970
373080,65.715,-16.728,800
373082,65.583,-16.817,490
373090,65.883,-16.967,563
373100,66.309,-17.118,-75
374010,64,-16.65,2010
374020,64.25,-16.583,1620
374801,64.798,-15.56,1833
375010,66.67,-18.5,5
376010,71.082,-8.155,2197
377020,85.608,85.25,-3800
381040,38.75,-38.08,-4200
382001,39.462,-31.216,914
382010,38.576,-28.713,1041
382020,38.47,-28.4,2351
382030,38.65,-28.08,1053
382040,39.02,-27.97,402
382050,38.73,-27.32,1023
382070,38.23,-26.63,-13
382080,37.865,-25.785,842
382081,37.78,-25.67,350
382090,37.77,-25.47,947
382100,37.77,-25.32,805
382110,37.6,-25.88,-197
382120,32.73,-16.97,1862
383010,28.57,-17.83,2426
383020,27.73,-18.03,1500
383030,28.271,-16.641,3715
383040,28,-15.58,1950
383050,28.358,-14.02,529
383060,29.03,-13.63,670
384010,14.95,-24.35,2829
384020,14.8514,-24.7041,956
385030,-0.433,-19.596,-1528
385050,-7.9458,-14.3667,822
385052,-32.958,-5.22,-1200
386010,-37.092,-12.28,2060
386011,-37.42,-12.48,365
386020,-54.408,3.351,741
390010,-66.78,163.25,1239
390011,-66.42,162.47,1340
390012,-67.4,164.83,1167
390013,-72.67,165.5,3040
390015,-74.35,164.7,2732
390016,-76.83,163,-500
390017,-78.5,163.53,2723
390020,-77.53,167.17,3794
390021,-78.25,163.33,3000
390022,-76.05,-136,3478
390023,-75.8,-132.33,2978
390027,-76.28,-112.08,3460
390028,-74.33,-99.42,749
390030,-62.9567,-60.6367,602
390031,-62.1,-57.93,180
390040,-62.063,-56.713,240
390041,-63.579,-55.78,353
390070,-59.442,-27.225,1075
390080,-59.017,-26.533,1100
390081,-58.445,-26.374,1370
390090,-57.8,-26.483,843
390100,-57.08,-26.67,550
390110,-56.712,-27.176,835
390120,-56.656,-28.14,190
390130,-56.3,-27.57,551
390140,-55.912,-28.167,-55
390829,-64.15,-57.75,1544
390847,-62.02,-57.67,549
