-85.28, 10.01
-85.30, 9.96
-85.31, 9.88
-85.31, 9.82
-85.28, 9.76
-85.27, 9.70
-85.23, 9.64
-85.18, 9.58
-85.12, 9.51
-85.07, 9.47
-85.00, 9.41
-84.89, 9.34
-84.80, 9.32
-84.73, 9.33
-84.67, 9.36
-84.59, 9.39
-84.52, 9.43
-84.44, 9.51
-84.43, 9.56
-84.44, 9.64
-84.46, 9.72
-84.49, 9.76
-84.53, 9.83
-84.57, 9.88
-84.61, 9.94
-84.66, 9.99
-84.70, 10.04
-84.74, 10.08
-84.79, 10.13
-84.84, 10.17
-84.89, 10.19
-84.95, 10.22
-85.02, 10.22
-85.10, 10.21
-85.17, 10.18
-85.21, 10.15
-85.24, 10.10
-85.26, 10.05
