lon,lat,vx,vy,vz
-84.6024,10.5485,0.0041,0.0041,-0.0001
-84.6284,9.7241,0.0069,0.0069,0.0067
-85.2612,10.5414,0.00714833468688595,0.00725166531311405,-0.0001
-85.4484,10.3834,0.00784833468688595,0.00965166531311405,0
-85.2069,9.7438,0.00964833468688595,0.010551665313114,-0.0047
-84.7756,10.1358,0.00644833468688595,0.00195166531311405,0.0002
-85.7761,10.2491,0.00794833468688595,0.00705166531311405,-0.0042
-85.3696,9.863,0.00654833468688595,0.0146516653131141,0.001
-85.6337,11.0543,0.00144833468688595,0.00195166531311405,-0.0005
-85.6106,10.2718,0.00804833468688595,0.0101516653131141,-0.0005
-85.653,10.5622,0.00544833468688595,0.00655166531311405,-0.002
-85.4497,10.14,0.00924833468688595,0.011851665313114,-0.007
-85.6585,9.9231,0.0167483346868859,0.0156516653131141,-0.0099
-85.3824,10.0795,0.0110483346868859,0.0114516653131141,-0.0002
-85.136,9.9751,0.00964833468688595,0.00715166531311405,-0.0014
-85.1868,9.9365,0.010248334686886,0.00795166531311405,-0.0036
-85.0742,9.6701,0.011,0.011,-0.0022
-85.8129,10.3553,0.00564833468688595,0.00595166531311405,-0.0038
-85.2203,10.2415,0.00904833468688595,0.00785166531311405,-0.0044
-84.9551,9.8322,0.00914833468688595,0.00765166531311405,-0.0027
-85.5691,10.8474,0.00374833468688595,0.00435166531311405,-0
-85.5488,9.8892,0.012848334686886,0.017551665313114,-0.0108
-84.9482,10.3656,0.00784833468688595,0.00455166531311405,-0.0001
-85.7569,10.0632,0.0126483346868859,0.010351665313114,-0.008
-85.0983,10.6018,0.00594833468688595,0.00555166531311405,-0.0018
-85.7917,10.1611,0.00994833468688595,0.00785166531311405,-0.0055
-84.5769,9.75,0.0088,0.0088,0.0125
-85.2025,9.7645,0.00874833468688595,0.00825166531311405,-0.0048
-85.3435,10.2379,0.014448334686886,0.0131516653131141,0.003
-85.5681,10.1409,0.015648334686886,0.0166516653131141,0.0041
-85.6356,9.9155,0.0146483346868859,0.0161516653131141,-0.0114
-85.7101,10.2922,0.00724833468688595,0.00815166531311405,-0.0033
-85.3517,10.0177,0.0102483346868859,0.0106516653131141,-0.0035
-85.5022,9.8646,0.010748334686886,0.0169516653131141,-0.0123
-84.9603,9.8071,0.014448334686886,0.0136516653131141,-0.0137
-85.0312,9.9454,0.00814833468688595,0.00685166531311405,-0.0003
-85.0533,10.2675,0.00854833468688595,0.00665166531311405,-0.0001
-85.829,10.1955,0.00834833468688595,0.00605166531311405,-0.0069
-85.2725,10.114,0.0103483346868859,0.00915166531311405,-0.0028
-84.9667,10.0645,0.00824833468688595,0.00635166531311405,0.0011
-85.3573,9.8404,0.00714833468688595,0.012051665313114,-0.0049
-85.7106,10.0671,0.0123483346868859,0.0116516653131141,-0.0073
-84.869,10.8536,0.0038,0.0039,-0.0027
