lon,lat,x,y,z,vp,vs,vp_vs_ratio
-83.787,10.098,-100.000,100.000,-10.000,3.000,0.000,0.0000
-83.787,10.098,-100.000,100.000,0.000,5.350,0.000,0.0000
-83.787,10.098,-100.000,100.000,5.000,6.120,0.000,0.0000
-83.787,10.098,-100.000,100.000,9.000,6.120,0.000,0.0000
-83.787,10.098,-100.000,100.000,13.000,6.280,0.000,0.0000
-83.787,10.098,-100.000,100.000,16.000,6.460,0.000,0.0000
-83.787,10.098,-100.000,100.000,20.000,6.720,0.000,0.0000
-83.787,10.098,-100.000,100.000,25.000,7.010,0.000,0.0000
-83.787,10.098,-100.000,100.000,30.000,7.390,0.000,0.0000
-83.787,10.098,-100.000,100.000,35.000,7.550,0.000,0.0000
-83.787,10.098,-100.000,100.000,40.000,8.140,0.000,0.0000
-83.787,10.098,-100.000,100.000,50.000,8.140,0.000,0.0000
-83.787,10.098,-100.000,100.000,65.000,8.260,0.000,0.0000
-83.787,10.098,-100.000,100.000,90.000,8.260,0.000,0.0000
-83.787,10.098,-100.000,100.000,700.000,10.300,0.000,0.0000
-83.786,10.278,-100.000,120.000,-10.000,3.000,0.000,0.0000
-83.786,10.278,-100.000,120.000,0.000,5.350,0.000,0.0000
-83.786,10.278,-100.000,120.000,5.000,6.120,0.000,0.0000
-83.786,10.278,-100.000,120.000,9.000,6.120,0.000,0.0000
-83.786,10.278,-100.000,120.000,13.000,6.280,0.000,0.0000
-83.786,10.278,-100.000,120.000,16.000,6.460,0.000,0.0000
-83.786,10.278,-100.000,120.000,20.000,6.720,0.000,0.0000
-83.786,10.278,-100.000,120.000,25.000,7.010,0.000,0.0000
-83.786,10.278,-100.000,120.000,30.000,7.390,0.000,0.0000
-83.786,10.278,-100.000,120.000,35.000,7.550,0.000,0.0000
-83.786,10.278,-100.000,120.000,40.000,8.140,0.000,0.0000
-83.786,10.278,-100.000,120.000,50.000,8.140,0.000,0.0000
-83.786,10.278,-100.000,120.000,65.000,8.260,0.000,0.0000
-83.786,10.278,-100.000,120.000,90.000,8.260,0.000,0.0000
-83.786,10.278,-100.000,120.000,700.000,10.300,0.000,0.0000
-83.786,10.458,-100.000,140.000,-10.000,3.000,0.000,0.0000
-83.786,10.458,-100.000,140.000,0.000,5.350,0.000,0.0000
-83.786,10.458,-100.000,140.000,5.000,6.120,0.000,0.0000
-83.786,10.458,-100.000,140.000,9.000,6.120,0.000,0.0000
-83.786,10.458,-100.000,140.000,13.000,6.280,0.000,0.0000
