lon,lat,x,y,z,vp,vs,vp_vs_ratio
-83.786,10.278,-100.000,120.000,90.000,8.260,4.640,1.7800
-83.786,10.278,-100.000,120.000,700.000,10.300,5.790,1.7800
-83.786,10.368,-100.000,130.000,-10.000,3.000,1.690,1.7800
-83.786,10.368,-100.000,130.000,0.000,5.350,3.010,1.7800
-83.786,10.368,-100.000,130.000,5.000,6.120,3.440,1.7800
-83.786,10.368,-100.000,130.000,9.000,6.120,3.440,1.7800
-83.786,10.368,-100.000,130.000,13.000,6.280,3.530,1.7800
-83.786,10.368,-100.000,130.000,16.000,6.460,3.630,1.7800
-83.786,10.368,-100.000,130.000,20.000,6.720,3.780,1.7800
-83.786,10.368,-100.000,130.000,25.000,7.010,3.940,1.7800
-83.786,10.368,-100.000,130.000,30.000,7.390,4.150,1.7800
-83.786,10.368,-100.000,130.000,35.000,7.550,4.240,1.7800
-83.786,10.368,-100.000,130.000,40.000,8.140,4.570,1.7800
-83.786,10.368,-100.000,130.000,50.000,8.140,4.570,1.7800
-83.786,10.368,-100.000,130.000,65.000,8.260,4.640,1.7800
-83.786,10.368,-100.000,130.000,90.000,8.260,4.640,1.7800
-83.786,10.368,-100.000,130.000,700.000,10.300,5.790,1.7800
-83.786,10.458,-100.000,140.000,-10.000,3.000,1.690,1.7800
-83.786,10.458,-100.000,140.000,0.000,5.350,3.010,1.7800
-83.786,10.458,-100.000,140.000,5.000,6.120,3.440,1.7800
-83.786,10.458,-100.000,140.000,9.000,6.120,3.440,1.7800
-83.786,10.458,-100.000,140.000,13.000,6.280,3.530,1.7800
-83.786,10.458,-100.000,140.000,16.000,6.460,3.630,1.7800
-83.786,10.458,-100.000,140.000,20.000,6.720,3.780,1.7800
-83.786,10.458,-100.000,140.000,25.000,7.010,3.940,1.7800
-83.786,10.458,-100.000,140.000,30.000,7.390,4.150,1.7800
-83.786,10.458,-100.000,140.000,35.000,7.550,4.240,1.7800
-83.786,10.458,-100.000,140.000,40.000,8.140,4.570,1.7800
-83.786,10.458,-100.000,140.000,50.000,8.140,4.570,1.7800
-83.786,10.458,-100.000,140.000,65.000,8.260,4.640,1.7800
-83.786,10.458,-100.000,140.000,90.000,8.260,4.640,1.7800
-83.786,10.458,-100.000,140.000,700.000,10.300,5.790,1.7800
-83.785,10.548,-100.000,150.000,-10.000,3.000,1.690,1.7800
-83.785,10.548,-100.000,150.000,0.000,5.350,3.010,1.7800
-83.785,10.548,-100.000,150.000,5.000,6.120,3.440,1.7800
-83.785,10.548,-100.000,150.000,9.000,6.120,3.440,1.7800
-83.785,10.548,-100.000,150.000,13.000,6.280,3.530,1.7800
-83.785,10.548,-100.000,150.000,16.000,6.460,3.630,1.7800
-83.785,10.548,-100.000,150.000,20.000,6.720,3.780,1.7800
-83.785,10.548,-100.000,150.000,25.000,7.010,3.940,1.7800
-83.785,10.548,-100.000,150.000,30.000,7.390,4.150,1.7800
-83.785,10.548,-100.000,150.000,35.000,7.550,4.240,1.7800
-83.785,10.548,-100.000,150.000,40.000,8.140,4.570,1.7800
-83.785,10.548,-100.000,150.000,50.000,8.140,4.570,1.7800
-83.785,10.548,-100.000,150.000,65.000,8.260,4.640,1.7800
-83.785,10.548,-100.000,150.000,90.000,8.260,4.640,1.7800
-83.785,10.548,-100.000,150.000,700.000,10.300,5.790,1.7800
-83.785,10.638,-100.000,160.000,-10.000,3.000,1.690,1.7800
-83.785,10.638,-100.000,160.000,0.000,5.350,3.010,1.7800
-83.785,10.638,-100.000,160.000,5.000,6.120,3.440,1.7800
-83.785,10.638,-100.000,160.000,9.000,6.120,3.440,1.7800
-83.785,10.638,-100.000,160.000,13.000,6.280,3.530,1.7800
-83.785,10.638,-100.000,160.000,16.000,6.460,3.630,1.7800
-83.785,10.638,-100.000,160.000,20.000,6.720,3.780,1.7800
-83.785,10.638,-100.000,160.000,25.000,7.010,3.940,1.7800
-83.785,10.638,-100.000,160.000,30.000,7.390,4.150,1.7800
-83.785,10.638,-100.000,160.000,35.000,7.550,4.240,1.7800
-83.785,10.638,-100.000,160.000,40.000,8.140,4.570,1.7800
-83.785,10.638,-100.000,160.000,50.000,8.140,4.570,1.7800
-83.785,10.638,-100.000,160.000,65.000,8.260,4.640,1.7800
-83.785,10.638,-100.000,160.000,90.000,8.260,4.640,1.7800
-83.785,10.638,-100.000,160.000,700.000,10.300,5.790,1.7800
-83.785,10.818,-100.000,180.000,-10.000,3.000,1.690,1.7800
-83.785,10.818,-100.000,180.000,0.000,5.350,3.010,1.7800
-83.785,10.818,-100.000,180.000,5.000,6.120,3.440,1.7800
-83.785,10.818,-100.000,180.000,9.000,6.120,3.440,1.7800
-83.785,10.818,-100.000,180.000,13.000,6.280,3.530,1.7800
-83.785,10.818,-100.000,180.000,16.000,6.460,3.630,1.7800
-83.785,10.818,-100.000,180.000,20.000,6.720,3.780,1.7800
-83.785,10.818,-100.000,180.000,25.000,7.010,3.940,1.7800
-83.785,10.818,-100.000,180.000,30.000,7.390,4.150,1.7800
-83.785,10.818,-100.000,180.000,35.000,7.550,4.240,1.7800
-83.785,10.818,-100.000,180.000,40.000,8.140,4.570,1.7800
-83.785,10.818,-100.000,180.000,50.000,8.140,4.570,1.7800
-83.785,10.818,-100.000,180.000,65.000,8.260,4.640,1.7800
-83.785,10.818,-100.000,180.000,90.000,8.260,4.640,1.7800
-83.785,10.818,-100.000,180.000,700.000,10.300,5.790,1.7800
-83.784,10.997,-100.000,200.000,-10.000,3.000,1.690,1.7800
-83.784,10.997,-100.000,200.000,0.000,5.350,3.010,1.7800
-83.784,10.997,-100.000,200.000,5.000,6.120,3.440,1.7800
-83.784,10.997,-100.000,200.000,9.000,6.120,3.440,1.7800
-83.784,10.997,-100.000,200.000,13.000,6.280,3.530,1.7800
-83.784,10.997,-100.000,200.000,16.000,6.460,3.630,1.7800
-83.784,10.997,-100.000,200.000,20.000,6.720,3.780,1.7800
-83.784,10.997,-100.000,200.000,25.000,7.010,3.940,1.7800
-83.784,10.997,-100.000,200.000,30.000,7.390,4.150,1.7800
-83.784,10.997,-100.000,200.000,35.000,7.550,4.240,1.7800
-83.784,10.997,-100.000,200.000,40.000,8.140,4.570,1.7800
-83.784,10.997,-100.000,200.000,50.000,8.140,4.570,1.7800
-83.784,10.997,-100.000,200.000,65.000,8.260,4.640,1.7800
-83.784,10.997,-100.000,200.000,90.000,8.260,4.640,1.7800
-83.784,10.997,-100.000,200.000,700.000,10.300,5.790,1.7800
-83.783,11.177,-100.000,220.000,-10.000,3.000,1.690,1.7800
-83.783,11.177,-100.000,220.000,0.000,5.350,3.010,1.7800
-83.783,11.177,-100.000,220.000,5.000,6.120,3.440,1.7800
-83.783,11.177,-100.000,220.000,9.000,6.120,3.440,1.7800
-83.783,11.177,-100.000,220.000,13.000,6.280,3.530,1.7800
-83.783,11.177,-100.000,220.000,16.000,6.460,3.630,1.7800
-83.783,11.177,-100.000,220.000,20.000,6.720,3.780,1.7800
-83.783,11.177,-100.000,220.000,25.000,7.010,3.940,1.7800
-83.783,11.177,-100.000,220.000,30.000,7.390,4.150,1.7800
-83.783,11.177,-100.000,220.000,35.000,7.550,4.240,1.7800
-83.783,11.177,-100.000,220.000,40.000,8.140,4.570,1.7800
-83.783,11.177,-100.000,220.000,50.000,8.140,4.570,1.7800
-83.783,11.177,-100.000,220.000,65.000,8.260,4.640,1.7800
-83.783,11.177,-100.000,220.000,90.000,8.260,4.640,1.7800
-83.783,11.177,-100.000,220.000,700.000,10.300,5.790,1.7800
-83.780,12.346,-100.000,350.000,-10.000,3.000,1.690,1.7800
-83.780,12.346,-100.000,350.000,0.000,5.350,3.010,1.7800
-83.780,12.346,-100.000,350.000,5.000,6.120,3.440,1.7800
-83.780,12.346,-100.000,350.000,9.000,6.120,3.440,1.7800
-83.780,12.346,-100.000,350.000,13.000,6.280,3.530,1.7800
-83.780,12.346,-100.000,350.000,16.000,6.460,3.630,1.7800
-83.780,12.346,-100.000,350.000,20.000,6.720,3.780,1.7800
-83.780,12.346,-100.000,350.000,25.000,7.010,3.940,1.7800
-83.780,12.346,-100.000,350.000,30.000,7.390,4.150,1.7800
-83.780,12.346,-100.000,350.000,35.000,7.550,4.240,1.7800
-83.780,12.346,-100.000,350.000,40.000,8.140,4.570,1.7800
-83.780,12.346,-100.000,350.000,50.000,8.140,4.570,1.7800
-83.780,12.346,-100.000,350.000,65.000,8.260,4.640,1.7800
-83.780,12.346,-100.000,350.000,90.000,8.260,4.640,1.7800
-83.780,12.346,-100.000,350.000,700.000,10.300,5.790,1.7800
-84.700,8.301,0.000,-100.000,-10.000,3.000,1.690,1.7800
-84.700,8.301,0.000,-100.000,0.000,5.350,3.010,1.7800
-84.700,8.301,0.000,-100.000,5.000,6.120,3.440,1.7800
-84.700,8.301,0.000,-100.000,9.000,6.120,3.440,1.7800
-84.700,8.301,0.000,-100.000,13.000,6.280,3.530,1.7800
-84.700,8.301,0.000,-100.000,16.000,6.460,3.630,1.7800
-84.700,8.301,0.000,-100.000,20.000,6.720,3.780,1.7800
-84.700,8.301,0.000,-100.000,25.000,7.010,3.940,1.7800
-84.700,8.301,0.000,-100.000,30.000,7.390,4.150,1.7800
-84.700,8.301,0.000,-100.000,35.000,7.550,4.240,1.7800
-84.700,8.301,0.000,-100.000,40.000,8.140,4.570,1.7800
-84.700,8.301,0.000,-100.000,50.000,8.140,4.570,1.7800
-84.700,8.301,0.000,-100.000,65.000,8.260,4.640,1.7800
-84.700,8.301,0.000,-100.000,90.000,8.260,4.640,1.7800
-84.700,8.301,0.000,-100.000,700.000,10.300,5.790,1.7800
-84.700,9.200,0.000,0.000,-10.000,3.000,1.690,1.7800
-84.700,9.200,0.000,0.000,0.000,5.350,3.010,1.7800
-84.700,9.200,0.000,0.000,5.000,6.120,3.440,1.7800
-84.700,9.200,0.000,0.000,9.000,6.120,3.440,1.7800
-84.700,9.200,0.000,0.000,13.000,6.280,3.530,1.7800
-84.700,9.200,0.000,0.000,16.000,6.460,3.630,1.7800
-84.700,9.200,0.000,0.000,20.000,6.720,3.780,1.7800
-84.700,9.200,0.000,0.000,25.000,7.010,3.940,1.7800
-84.700,9.200,0.000,0.000,30.000,7.390,4.150,1.7800
-84.700,9.200,0.000,0.000,35.000,7.550,4.240,1.7800
-84.700,9.200,0.000,0.000,40.000,8.140,4.570,1.7800
-84.700,9.200,0.000,0.000,50.000,8.140,4.570,1.7800
-84.700,9.200,0.000,0.000,65.000,8.260,4.640,1.7800
-84.700,9.200,0.000,0.000,90.000,8.260,4.640,1.7800
-84.700,9.200,0.000,0.000,700.000,10.300,5.790,1.7800
-84.700,9.380,0.000,20.000,-10.000,3.000,1.690,1.7800
-84.700,9.380,0.000,20.000,0.000,5.350,3.010,1.7800
-84.700,9.380,0.000,20.000,5.000,6.120,3.440,1.7800
-84.700,9.380,0.000,20.000,9.000,6.120,3.440,1.7800
-84.700,9.380,0.000,20.000,13.000,6.280,3.530,1.7800
-84.700,9.380,0.000,20.000,16.000,6.460,3.630,1.7800
-84.700,9.380,0.000,20.000,20.000,6.720,3.780,1.7800
-84.700,9.380,0.000,20.000,25.000,7.010,3.940,1.7800
-84.700,9.380,0.000,20.000,30.000,7.390,4.150,1.7800
-84.700,9.380,0.000,20.000,35.000,7.550,4.240,1.7800
-84.700,9.380,0.000,20.000,40.000,8.140,4.570,1.7800
-84.700,9.380,0.000,20.000,50.000,8.140,4.570,1.7800
-84.700,9.380,0.000,20.000,65.000,8.260,4.640,1.7800
-84.700,9.380,0.000,20.000,90.000,8.260,4.640,1.7800
-84.700,9.380,0.000,20.000,700.000,10.300,5.790,1.7800
-84.700,9.560,0.000,40.000,-10.000,3.000,1.690,1.7800
-84.700,9.560,0.000,40.000,0.000,5.350,3.010,1.7800
-84.700,9.560,0.000,40.000,5.000,6.120,3.440,1.7800
-84.700,9.560,0.000,40.000,9.000,6.120,3.440,1.7800
-84.700,9.560,0.000,40.000,13.000,6.280,3.530,1.7800
-84.700,9.560,0.000,40.000,16.000,6.460,3.630,1.7800
-84.700,9.560,0.000,40.000,20.000,6.720,3.780,1.7800
