lon,lat,x,y,z,vp,vs,vp_vs_ratio
-83.787,9.918,-100.000,80.000,-10.000,3.000,1.690,1.7800
-83.787,9.918,-100.000,80.000,0.000,5.350,3.010,1.7800
-83.787,9.918,-100.000,80.000,5.000,6.120,3.440,1.7800
-83.787,9.918,-100.000,80.000,9.000,6.120,3.440,1.7800
-83.787,9.918,-100.000,80.000,13.000,6.280,3.530,1.7800
-83.787,9.918,-100.000,80.000,16.000,6.460,3.630,1.7800
-83.787,9.918,-100.000,80.000,20.000,6.720,3.780,1.7800
-83.787,9.918,-100.000,80.000,25.000,7.010,3.940,1.7800
-83.787,9.918,-100.000,80.000,30.000,7.390,4.150,1.7800
-83.787,9.918,-100.000,80.000,35.000,7.550,4.240,1.7800
-83.787,9.918,-100.000,80.000,40.000,8.140,4.570,1.7800
-83.787,9.918,-100.000,80.000,50.000,8.140,4.570,1.7800
-83.787,9.918,-100.000,80.000,65.000,8.260,4.640,1.7800
-83.787,9.918,-100.000,80.000,90.000,8.260,4.640,1.7800
-83.787,9.918,-100.000,80.000,700.000,10.300,5.790,1.7800
-83.787,10.008,-100.000,90.000,-10.000,3.000,1.690,1.7800
-83.787,10.008,-100.000,90.000,0.000,5.350,3.010,1.7800
-83.787,10.008,-100.000,90.000,5.000,6.120,3.440,1.7800
-83.787,10.008,-100.000,90.000,9.000,6.120,3.440,1.7800
-83.787,10.008,-100.000,90.000,13.000,6.280,3.530,1.7800
-83.787,10.008,-100.000,90.000,16.000,6.460,3.630,1.7800
-83.787,10.008,-100.000,90.000,20.000,6.720,3.780,1.7800
-83.787,10.008,-100.000,90.000,25.000,7.010,3.940,1.7800
-83.787,10.008,-100.000,90.000,30.000,7.390,4.150,1.7800
-83.787,10.008,-100.000,90.000,35.000,7.550,4.240,1.7800
-83.787,10.008,-100.000,90.000,40.000,8.140,4.570,1.7800
-83.787,10.008,-100.000,90.000,50.000,8.140,4.570,1.7800
-83.787,10.008,-100.000,90.000,65.000,8.260,4.640,1.7800
-83.787,10.008,-100.000,90.000,90.000,8.260,4.640,1.7800
-83.787,10.008,-100.000,90.000,700.000,10.300,5.790,1.7800
-83.787,10.098,-100.000,100.000,-10.000,3.000,1.690,1.7800
-83.787,10.098,-100.000,100.000,0.000,5.350,3.010,1.7800
-83.787,10.098,-100.000,100.000,5.000,6.120,3.440,1.7800
-83.787,10.098,-100.000,100.000,9.000,6.120,3.440,1.7800
-83.787,10.098,-100.000,100.000,13.000,6.280,3.530,1.7800
-83.787,10.098,-100.000,100.000,16.000,6.460,3.630,1.7800
-83.787,10.098,-100.000,100.000,20.000,6.720,3.780,1.7800
-83.787,10.098,-100.000,100.000,25.000,7.010,3.940,1.7800
-83.787,10.098,-100.000,100.000,30.000,7.390,4.150,1.7800
-83.787,10.098,-100.000,100.000,35.000,7.550,4.240,1.7800
-83.787,10.098,-100.000,100.000,40.000,8.140,4.570,1.7800
-83.787,10.098,-100.000,100.000,50.000,8.140,4.570,1.7800
-83.787,10.098,-100.000,100.000,65.000,8.260,4.640,1.7800
-83.787,10.098,-100.000,100.000,90.000,8.260,4.640,1.7800
-83.787,10.098,-100.000,100.000,700.000,10.300,5.790,1.7800
-83.786,10.188,-100.000,110.000,-10.000,3.000,1.690,1.7800
-83.786,10.188,-100.000,110.000,0.000,5.350,3.010,1.7800
-83.786,10.188,-100.000,110.000,5.000,6.120,3.440,1.7800
-83.786,10.188,-100.000,110.000,9.000,6.120,3.440,1.7800
-83.786,10.188,-100.000,110.000,13.000,6.280,3.530,1.7800
-83.786,10.188,-100.000,110.000,16.000,6.460,3.630,1.7800
-83.786,10.188,-100.000,110.000,20.000,6.720,3.780,1.7800
-83.786,10.188,-100.000,110.000,25.000,7.010,3.940,1.7800
-83.786,10.188,-100.000,110.000,30.000,7.390,4.150,1.7800
-83.786,10.188,-100.000,110.000,35.000,7.550,4.240,1.7800
-83.786,10.188,-100.000,110.000,40.000,8.140,4.570,1.7800
-83.786,10.188,-100.000,110.000,50.000,8.140,4.570,1.7800
-83.786,10.188,-100.000,110.000,65.000,8.260,4.640,1.7800
-83.786,10.188,-100.000,110.000,90.000,8.260,4.640,1.7800
-83.786,10.188,-100.000,110.000,700.000,10.300,5.790,1.7800
-83.786,10.278,-100.000,120.000,-10.000,3.000,1.690,1.7800
-83.786,10.278,-100.000,120.000,0.000,5.350,3.010,1.7800
-83.786,10.278,-100.000,120.000,5.000,6.120,3.440,1.7800
-83.786,10.278,-100.000,120.000,9.000,6.120,3.440,1.7800
-83.786,10.278,-100.000,120.000,13.000,6.280,3.530,1.7800
-83.786,10.278,-100.000,120.000,16.000,6.460,3.630,1.7800
-83.786,10.278,-100.000,120.000,20.000,6.720,3.780,1.7800
-83.786,10.278,-100.000,120.000,25.000,7.010,3.940,1.7800
-83.786,10.278,-100.000,120.000,30.000,7.390,4.150,1.7800
-83.786,10.278,-100.000,120.000,35.000,7.550,4.240,1.7800
-83.786,10.278,-100.000,120.000,40.000,8.140,4.570,1.7800
-83.786,10.278,-100.000,120.000,50.000,8.140,4.570,1.7800
-83.786,10.278,-100.000,120.000,65.000,8.260,4.640,1.7800
