> -100 contour -Z-100
274.2	11.2313348785	-80
274.181223993	11.25	-80
274.15	11.2813343406	-80
274.131753479	11.3	-80
274.1	11.3328550056	-80
274.083658272	11.35	-80
274.05	11.385701564	-80
274.036614838	11.4	-80
274	11.4394279756	-80
273.990179252	11.45	-80
273.95	11.49338587	-80
273.943830817	11.5	-80
> -70 contour -Z-70
276	9.71967209429	-70
275.95	9.74675166868	-70
275.944386498	9.75	-70
275.9	9.77485158145	-70
275.859225655	9.8	-70
275.85	9.80556268394	-70
275.8	9.83803255185	-70
275.782869856	9.85	-70
275.75	9.87276804447	-70
275.713388115	9.9	-70
275.7	9.90993697941	-70
275.65	9.94920576662	-70
275.649018263	9.95	-70
275.6	9.9897660315	-70
275.587781758	10	-70
275.55	10.0317290545	-70
275.528656541	10.05	-70
275.5	10.0745363981	-70
275.470501474	10.1	-70
275.45	10.1176295221	-70
275.412340891	10.15	-70
275.4	10.160516125	-70
275.35338394	10.2	-70
275.35	10.202827704	-70
275.3	10.2439086985	-70
275.292479212	10.25	-70
275.25	10.283793503	-70
275.229450776	10.3	-70
275.2	10.3227507323	-70
275.164536926	10.35	-70
275.15	10.3609226078	-70
275.1	10.3983577576	-70
275.097770654	10.4	-70
275.05	10.4344024286	-70
275.028485984	10.45	-70
275	10.4701980531	-70
274.958464617	10.5	-70
274.95	10.5059485823	-70
274.9	10.5411766239	-70
274.887620965	10.55	-70
274.85	10.5763359413	-70
274.817108169	10.6	-70
274.8	10.6121311098	-70
274.75	10.6486603629	-70
274.748195792	10.65	-70
274.7	10.6854253232	-70
274.6809384	10.7	-70
274.65	10.7235039264	-70
274.616481671	10.75	-70
274.6	10.7629796177	-70
274.55474205	10.8	-70
274.55	10.8038689405	-70
274.5	10.8458633292	-70
274.495213711	10.85	-70
274.45	10.8889090359	-70
274.437490837	10.9	-70
274.4	10.9330617651	-70
274.381287813	10.95	-70
274.35	10.9781553194	-70
274.326289652	11	-70
274.3	11.0241020828	-70
274.272368103	11.05	-70
274.25	11.0709203482	-70
274.219557604	11.1	-70
274.2	11.1187243104	-70
274.167972165	11.15	-70
274.15	11.1676787317	-70
274.117702556	11.2	-70
274.1	11.2179266006	-70
274.068734112	11.25	-70
274.05	11.2695032686	-70
274.020910975	11.3	-70
274	11.3222582191	-70
273.973939753	11.35	-70
273.95	11.3758156404	-70
273.927416509	11.4	-70
273.9	11.4296049371	-70
273.880864458	11.45	-70
273.85	11.4829704806	-70
273.833781163	11.5	-70
