# Vertices from mesh.e
# Format: Node_ID X Y [Z]
# Number of nodes: 9648
1917 83556.875000 350956.031250 -11533.545898
1918 83554.476562 348611.687500 -11439.352539
1919 83580.367188 346298.812500 -11371.654297
1920 83683.296875 343991.625000 -11347.183594
1921 83818.015625 341671.937500 -11344.025391
1922 83957.109375 339317.125000 -11363.916016
1923 84123.617188 336907.812500 -11405.111328
1924 84306.671875 334448.437500 -11417.833984
1925 84490.312500 331998.968750 -11419.658203
1926 84737.437500 329495.468750 -11400.817383
1927 85054.906250 326996.343750 -11359.924805
1928 85438.023438 324518.781250 -11295.879883
1929 85816.140625 322155.031250 -11215.747070
1930 86172.859375 319803.406250 -11153.079102
1931 86483.773438 317475.937500 -11163.368164
1932 86779.296875 315178.593750 -11237.685547
1933 87080.203125 312817.531250 -11352.897461
1934 87418.203125 310392.468750 -11483.647461
1935 87775.593750 307914.593750 -11598.417969
1936 88140.375000 305406.187500 -11684.986328
1937 88472.125000 302881.187500 -11730.248047
1938 88800.484375 300368.250000 -11737.056641
1939 89151.906250 297863.687500 -11701.602539
1940 89533.898438 295409.406250 -11623.032227
1941 89970.421875 292989.812500 -11548.020508
1942 90536.562500 290643.625000 -11530.100586
1943 91334.382812 288444.375000 -11594.049805
1944 92405.906250 286439.843750 -11727.264648
1945 93649.820312 284566.750000 -11897.217773
1946 95048.101562 282682.812500 -12095.272461
1947 96462.468750 280783.000000 -12297.678711
1948 97843.101562 278861.437500 -12499.327148
1949 99413.546875 277203.968750 -12747.027344
1950 100924.265625 275562.218750 -12984.925781
1951 102439.085938 273923.718750 -13227.126953
1952 103060.273438 271788.750000 -13286.019531
1953 103376.687500 269325.437500 -13276.098633
1954 103718.640625 266860.500000 -13260.096680
1955 104094.406250 264389.156250 -13238.504883
1956 104538.382812 261938.703125 -13203.008789
1957 105008.679688 259632.484375 -13165.907227
1958 105400.460938 257441.640625 -13141.441406
1959 105748.195312 255272.593750 -13164.988281
1960 106102.554688 253001.640625 -13253.011719
1961 106185.601562 250562.812500 -13317.694336
1962 106140.406250 247968.968750 -13327.500000
1963 106145.492188 245330.250000 -13312.980469
1964 106197.859375 242714.437500 -13253.678711
1965 106246.007812 240042.125000 -13120.164062
1966 106347.593750 237475.031250 -12957.348633
1967 106530.148438 235004.046875 -12806.725586
1968 107525.578125 232840.359375 -12867.491211
1969 108799.742188 230880.718750 -13018.226562
1970 109986.007812 228802.453125 -13153.339844
1971 111017.757812 226614.875000 -13259.638672
1972 111978.890625 224376.046875 -13341.186523
1973 112845.125000 222068.546875 -13383.877930
1974 113608.695312 219773.625000 -13405.357422
1975 114348.164062 217484.125000 -13455.411133
1976 115043.250000 215195.546875 -13561.051758
1977 115667.929688 212864.156250 -13715.095703
1978 116257.312500 210515.578125 -13910.343750
1979 116860.046875 208115.546875 -14150.372070
1980 117505.101562 205623.781250 -14364.604492
1981 118164.625000 203173.468750 -14484.268555
1982 118780.078125 200791.000000 -14522.594727
1983 119404.000000 198434.343750 -14517.197266
1984 120031.312500 196088.968750 -14462.281250
1985 120639.406250 193746.062500 -14338.194336
1986 121207.179688 191442.250000 -14175.189453
1987 121736.046875 189130.109375 -14024.747070
1988 122258.960938 186789.703125 -13923.394531
1989 122781.398438 184384.109375 -13861.241211
1990 123312.390625 181990.468750 -13786.751953
1991 123859.875000 179584.125000 -13742.233398
1992 124416.726562 177181.078125 -13697.184570
1993 124970.796875 174774.421875 -13692.797852
1994 125532.562500 172365.453125 -13664.515625
1995 126112.679688 169958.687500 -13639.696289
1996 126711.546875 167566.734375 -13595.054688
1997 127323.960938 165192.718750 -13532.901367
1998 127949.625000 162816.515625 -13495.174805
1999 128592.265625 160440.671875 -13486.063477
2000 129227.406250 158052.296875 -13528.439453
2001 129867.210938 155682.578125 -13609.418945
2002 130483.585938 153328.890625 -13690.452148
2003 131095.156250 150966.015625 -13747.433594
2004 131682.781250 148592.343750 -13798.478516
2005 132241.859375 146216.390625 -13834.000000
2006 132779.953125 143844.312500 -13865.367188
2007 133300.328125 141466.875000 -13885.639648
2008 133819.421875 139085.312500 -13872.773438
2009 134350.812500 136703.500000 -13806.414062
2010 134914.328125 134332.312500 -13649.501953
2011 135503.640625 131962.609375 -13413.733398
2012 136049.406250 129565.750000 -13308.643555
2013 136570.234375 127167.382812 -13273.724609
2014 137093.015625 124772.625000 -13285.150391
2015 137624.578125 122383.164062 -13317.524414
2016 138170.750000 120000.000000 -13384.481445
2017 97968.500000 457514.437500 -10517.600586
2018 98110.453125 460000.000000 -10671.176758
2019 97824.320312 455025.656250 -10400.468750
2020 97670.437500 452545.750000 -10294.228516
2021 97518.023438 450113.937500 -10074.242188
2022 97347.101562 447691.093750 -9682.737305
2023 97102.625000 445061.281250 -9399.477539
2024 96807.007812 442342.375000 -9590.328125
2025 96502.546875 439851.875000 -10153.436523
2026 96190.148438 437515.562500 -10731.365234
2027 95875.460938 435096.375000 -11133.320312
2028 95535.546875 432637.281250 -11423.367188
2029 95160.320312 430193.500000 -11684.610352
2030 94753.265625 427755.562500 -11984.795898
2031 94343.750000 425313.093750 -12229.580078
2032 93918.781250 422887.906250 -12497.675781
2033 93497.312500 420466.531250 -12772.436523
2034 93042.007812 418021.593750 -13051.966797
2035 92569.664062 415602.312500 -13343.421875
2036 92090.320312 413091.875000 -13552.856445
2037 91637.609375 410555.312500 -13736.629883
2038 91247.273438 408007.187500 -13858.419922
2039 90907.601562 405494.562500 -13925.891602
2040 90623.968750 403007.156250 -13988.712891
2041 90357.921875 400532.093750 -14073.852539
2042 90048.140625 398005.968750 -14157.711914
2043 89765.664062 395427.062500 -14184.844727
2044 89533.718750 392885.062500 -14157.064453
2045 89325.085938 390362.468750 -14085.087891
2046 89110.562500 387862.187500 -13999.563477
2047 88912.531250 385350.625000 -13902.426758
2048 88727.250000 382846.937500 -13786.381836
2049 88543.734375 380362.250000 -13668.913086
2050 88365.156250 377883.875000 -13557.444336
2051 88193.601562 375401.281250 -13449.088867
2052 88027.671875 372920.906250 -13346.998047
2053 87870.132812 370423.250000 -13236.531250
2054 87720.507812 367930.656250 -13106.922852
2055 87580.898438 365453.281250 -12965.204102
2056 87447.914062 362977.156250 -12807.416016
2057 87324.085938 360519.531250 -12643.128906
2058 87215.046875 358096.531250 -12474.289062
2059 87117.796875 355688.843750 -12300.709961
2060 87040.343750 353315.937500 -12131.700195
2061 86994.132812 350967.656250 -11970.825195
2062 86990.632812 348621.687500 -11844.067383
2063 87038.539062 346325.375000 -11721.100586
2064 87131.148438 344019.843750 -11640.233398
2065 87263.250000 341735.531250 -11596.166992
2066 87428.625000 339407.000000 -11583.130859
2067 87615.539062 337064.406250 -11623.766602
2068 87795.156250 334656.656250 -11685.303711
2069 87967.414062 332212.718750 -11736.813477
2070 88168.789062 329696.187500 -11759.095703
2071 88401.343750 327113.906250 -11726.379883
2072 88676.562500 324582.500000 -11632.736328
2073 88987.671875 322206.593750 -11526.370117
2074 89339.078125 319903.625000 -11462.967773
2075 89714.054688 317589.906250 -11472.407227
2076 90033.023438 315271.562500 -11545.311523
2077 90289.039062 312896.843750 -11661.569336
2078 90619.960938 310441.281250 -11772.470703
2079 91044.328125 307986.281250 -11853.016602
2080 91461.156250 305571.812500 -11918.458008
2081 91847.398438 303140.843750 -11990.757812
2082 92126.320312 300652.812500 -12042.139648
2083 92453.906250 298166.531250 -12064.908203
2084 92771.335938 295729.656250 -12057.691406
2085 93141.000000 293254.031250 -12018.339844
2086 93703.765625 290890.062500 -12063.091797
2087 94431.148438 288648.093750 -12133.319336
2088 95500.609375 286630.937500 -12280.385742
2089 96733.851562 284750.656250 -12452.519531
2090 98096.789062 282864.250000 -12658.544922
2091 99506.726562 280961.562500 -12864.253906
2092 100839.265625 279024.375000 -13065.519531
2093 102386.562500 277368.562500 -13308.704102
2094 103904.921875 275694.812500 -13542.583008
2095 105393.328125 274110.875000 -13756.814453
2096 105959.882812 271923.312500 -13829.415039
2097 106200.382812 269453.625000 -13822.757812
2098 106521.203125 266921.843750 -13800.932617
2099 106901.242188 264432.250000 -13760.002930
2100 107315.843750 262013.343750 -13706.328125
2101 107749.101562 259736.062500 -13659.816406
2102 108136.500000 257573.343750 -13648.702148
2103 108480.875000 255409.750000 -13706.478516
2104 108815.015625 253176.046875 -13823.625977
2105 108935.085938 250695.531250 -13923.719727
2106 108918.546875 248071.281250 -13956.416992
2107 108965.179688 245373.343750 -13934.170898
2108 109037.093750 242748.609375 -13864.916992
2109 109065.593750 240153.500000 -13726.075195
2110 109070.242188 237611.781250 -13554.260742
2111 109173.218750 235128.406250 -13391.114258
2112 110097.859375 232965.062500 -13443.869141
2113 111303.765625 230980.796875 -13584.296875
2114 112438.703125 228908.640625 -13707.902344
2115 113453.585938 226724.062500 -13815.078125
2116 114384.117188 224478.953125 -13891.062500
2117 115213.843750 222147.875000 -13946.954102
2118 115938.992188 219839.015625 -13962.976562
2119 116648.296875 217542.187500 -14016.452148
2120 117314.812500 215242.937500 -14119.937500
2121 117919.695312 212900.843750 -14277.279297
2122 118514.898438 210545.343750 -14478.903320
2123 119105.687500 208115.078125 -14695.503906
2124 119743.257812 205632.359375 -14877.033203
2125 120360.406250 203193.984375 -14965.136719
2126 120938.640625 200823.453125 -14988.633789
2127 121535.101562 198454.250000 -14973.867188
2128 122124.023438 196112.031250 -14895.696289
2129 122699.554688 193778.718750 -14767.500977
2130 123241.992188 191476.968750 -14618.983398
2131 123745.078125 189157.968750 -14500.826172
2132 124254.882812 186806.546875 -14422.838867
2133 124778.648438 184397.218750 -14372.338867
2134 125314.007812 182000.593750 -14318.666992
2135 125868.484375 179592.421875 -14285.842773
2136 126427.093750 177186.953125 -14274.944336
2137 126985.695312 174782.093750 -14261.157227
2138 127544.804688 172377.546875 -14233.821289
2139 128119.898438 169976.906250 -14178.084961
2140 128717.031250 167597.125000 -14066.282227
2141 129320.156250 165212.203125 -13979.200195
2142 129938.828125 162827.765625 -13927.894531
2143 130564.351562 160430.531250 -13929.715820
2144 131176.593750 158052.734375 -14012.210938
2145 131778.031250 155675.734375 -14126.948242
2146 132360.468750 153320.359375 -14230.799805
2147 132948.468750 150958.437500 -14297.345703
2148 133502.109375 148587.984375 -14379.347656
2149 134043.484375 146212.343750 -14433.097656
2150 134558.593750 143840.609375 -14484.425781
2151 135060.015625 141463.406250 -14497.152344
2152 135552.203125 139081.281250 -14497.328125
2153 136068.515625 136700.281250 -14426.724609
2154 136615.656250 134330.406250 -14257.765625
2155 137176.453125 131958.265625 -14048.040039
2156 137698.562500 129561.132812 -13954.064453
2157 138209.078125 127165.812500 -13897.833984
2158 138713.343750 124772.093750 -13895.656250
2159 139227.562500 122382.179688 -13927.364258
2160 139762.875000 120000.000000 -13973.793945
2161 101560.015625 457510.468750 -11098.064453
2162 101721.390625 460000.000000 -11180.745117
2163 101404.890625 455021.812500 -11013.440430
2164 101244.414062 452538.062500 -10937.520508
2165 101107.632812 450092.093750 -10752.561523
2166 101015.554688 447661.562500 -10382.452148
2167 100922.375000 445089.812500 -10051.862305
2168 100644.429688 442362.500000 -10181.300781
2169 100239.132812 439874.812500 -10514.118164
2170 99836.726562 437476.187500 -10900.709961
2171 99457.578125 435042.656250 -11169.001953
2172 99075.984375 432587.312500 -11407.890625
2173 98685.718750 430143.500000 -11692.601562
2174 98272.046875 427727.843750 -12041.427734
2175 97859.187500 425301.656250 -12381.438477
2176 97427.710938 422870.656250 -12670.749023
2177 96994.500000 420452.000000 -12981.331055
2178 96548.046875 418065.343750 -13299.594727
2179 96078.531250 415653.812500 -13652.163086
2180 95627.304688 413198.843750 -14001.982422
2181 95171.781250 410652.312500 -14274.234375
2182 94764.929688 408075.531250 -14480.882812
2183 94407.101562 405471.093750 -14562.343750
2184 94114.929688 402958.406250 -14574.385742
2185 93875.531250 400495.593750 -14618.592773
2186 93625.546875 398025.093750 -14702.718750
2187 93358.304688 395419.375000 -14756.240234
2188 93128.125000 392853.406250 -14702.259766
2189 92915.070312 390350.750000 -14603.445312
2190 92693.960938 387861.156250 -14510.910156
2191 92474.476562 385359.312500 -14416.398438
2192 92266.726562 382853.718750 -14297.581055
2193 92075.898438 380373.875000 -14174.750977
2194 91891.164062 377897.625000 -14065.483398
2195 91714.179688 375415.125000 -13967.024414
2196 91548.906250 372935.000000 -13868.547852
2197 91388.523438 370438.250000 -13759.909180
2198 91234.617188 367947.343750 -13636.171875
2199 91088.851562 365472.937500 -13495.911133
2200 90948.835938 362998.125000 -13343.731445
2201 90817.968750 360541.468750 -13180.616211
2202 90701.023438 358119.562500 -13004.580078
2203 90595.984375 355713.031250 -12817.984375
2204 90516.117188 353343.500000 -12627.003906
2205 90464.468750 350995.750000 -12436.526367
2206 90441.640625 348643.000000 -12251.567383
2207 90474.273438 346346.781250 -12081.708008
2208 90538.062500 344050.937500 -11955.254883
2209 90649.046875 341772.531250 -11862.539062
2210 90801.414062 339477.937500 -11823.744141
2211 90967.960938 337183.687500 -11847.319336
2212 91142.984375 334828.500000 -11915.447266
2213 91336.085938 332433.875000 -12014.985352
2214 91512.390625 329947.687500 -12105.314453
2215 91698.281250 327368.031250 -12138.490234
2216 91871.531250 324791.187500 -12089.881836
2217 92080.351562 322348.281250 -12004.368164
2218 92386.101562 319976.531250 -11938.192383
2219 92745.257812 317674.375000 -11953.811523
2220 93118.906250 315365.468750 -11987.898438
2221 93504.609375 312931.187500 -12073.694336
2222 93947.070312 310422.625000 -12091.575195
2223 94390.718750 308009.343750 -12090.759766
2224 94784.796875 305664.625000 -12107.675781
2225 95136.476562 303337.562500 -12174.003906
2226 95470.726562 300949.218750 -12280.967773
2227 95777.171875 298487.187500 -12366.363281
2228 96105.578125 296044.656250 -12423.152344
2229 96484.882812 293585.000000 -12467.137695
2230 96981.093750 291194.906250 -12543.898438
2231 97726.093750 288914.968750 -12653.750977
2232 98770.148438 286890.531250 -12812.351562
2233 99956.304688 285008.625000 -12990.657227
2234 101313.250000 283126.406250 -13183.879883
2235 102684.523438 281216.968750 -13377.046875
2236 103975.765625 279273.906250 -13593.549805
2237 105544.203125 277598.656250 -13806.737305
2238 107067.210938 275974.062500 -13996.677734
2239 108562.046875 274388.500000 -14177.595703
2240 109060.585938 272170.968750 -14273.752930
2241 109221.382812 269623.437500 -14322.555664
2242 109525.015625 267041.187500 -14300.148438
2243 109829.820312 264546.093750 -14247.127930
2244 110169.078125 262150.218750 -14177.085938
2245 110535.460938 259914.437500 -14129.154297
2246 110882.882812 257703.671875 -14129.884766
2247 111227.132812 255575.953125 -14211.488281
2248 111577.093750 253283.531250 -14347.486328
2249 111732.726562 250790.968750 -14473.717773
2250 111757.812500 248110.578125 -14515.143555
2251 111837.359375 245390.593750 -14469.954102
2252 111897.062500 242810.250000 -14370.260742
2253 111885.976562 240292.750000 -14232.004883
2254 111825.085938 237807.859375 -14083.886719
2255 111857.109375 235343.921875 -13957.165039
2256 112719.046875 233122.359375 -14003.369141
2257 113946.984375 231133.796875 -14126.148438
2258 115019.828125 229083.218750 -14249.016602
2259 115969.390625 226892.265625 -14347.143555
2260 116791.742188 224603.046875 -14441.066406
2261 117568.523438 222258.625000 -14510.437500
2262 118250.460938 219910.218750 -14528.650391
2263 118933.695312 217604.875000 -14582.035156
2264 119573.617188 215285.218750 -14699.352539
2265 120174.945312 212933.093750 -14856.770508
2266 120758.390625 210554.656250 -15035.712891
2267 121345.007812 208117.500000 -15214.424805
2268 121946.382812 205654.250000 -15350.414062
2269 122529.539062 203239.250000 -15427.072266
2270 123081.117188 200860.593750 -15449.713867
2271 123636.867188 198489.671875 -15425.935547
2272 124186.367188 196152.531250 -15354.687500
2273 124737.046875 193815.734375 -15230.924805
2274 125271.765625 191515.000000 -15126.585938
2275 125778.390625 189178.500000 -15030.795898
2276 126303.039062 186820.343750 -14977.775391
2277 126834.953125 184409.453125 -14937.929688
2278 127374.343750 182011.140625 -14898.607422
2279 127930.429688 179601.015625 -14880.434570
2280 128481.078125 177195.765625 -14874.375000
2281 129033.546875 174794.546875 -14853.626953
2282 129582.742188 172400.453125 -14793.891602
2283 130137.976562 170008.734375 -14676.567383
2284 130725.000000 167628.218750 -14509.639648
2285 131323.203125 165233.375000 -14394.396484
2286 131932.640625 162831.484375 -14354.549805
2287 132527.406250 160431.296875 -14390.311523
2288 133102.468750 158036.343750 -14484.699219
2289 133664.250000 155665.406250 -14614.257812
2290 134217.421875 153312.296875 -14738.365234
2291 134789.406250 150948.359375 -14856.775391
2292 135324.187500 148578.437500 -14950.767578
2293 135841.781250 146206.781250 -15028.994141
2294 136338.296875 143838.328125 -15093.655273
2295 136811.421875 141462.109375 -15132.808594
2296 137281.593750 139080.703125 -15128.235352
2297 137773.593750 136698.906250 -15061.347656
2298 138309.828125 134330.343750 -14875.364258
2299 138842.109375 131951.484375 -14702.498047
2300 139343.265625 129557.453125 -14609.666992
2301 139839.828125 127163.757812 -14552.860352
2302 140329.640625 124771.046875 -14542.754883
2303 140829.203125 122382.812500 -14547.148438
2304 141346.015625 120000.000000 -14586.754883
2305 105174.890625 457509.468750 -11508.099609
2306 105354.750000 460000.000000 -11498.069336
2307 104977.539062 455021.906250 -11623.040039
2308 104791.890625 452529.750000 -11617.670898
2309 104601.382812 450044.812500 -11614.394531
2310 104461.648438 447554.250000 -11469.782227
2311 104319.843750 445040.968750 -11344.531250
2312 104061.625000 442511.906250 -11405.963867
2313 103704.867188 440030.093750 -11621.413086
2314 103357.671875 437563.031250 -11779.622070
2315 102995.859375 435081.375000 -11880.246094
2316 102628.460938 432608.125000 -11963.080078
2317 102236.000000 430156.406250 -12130.729492
2318 101805.882812 427733.031250 -12427.078125
2319 101388.890625 425327.500000 -12771.455078
2320 100919.539062 422920.000000 -13109.398438
2321 100428.101562 420507.468750 -13408.794922
2322 99936.984375 418116.281250 -13767.558594
2323 99479.804688 415719.968750 -14167.250000
2324 99030.695312 413252.843750 -14539.875977
2325 98640.773438 410701.187500 -14858.063477
2326 98287.195312 408114.781250 -15077.750977
2327 97948.835938 405519.437500 -15211.888672
2328 97632.031250 402950.250000 -15231.307617
2329 97354.804688 400474.906250 -15237.811523
2330 97105.968750 397975.593750 -15271.220703
2331 96874.109375 395414.125000 -15283.810547
2332 96639.812500 392854.218750 -15216.102539
2333 96399.054688 390362.531250 -15109.815430
2334 96161.007812 387881.531250 -15015.987305
2335 95953.023438 385381.343750 -14942.539062
2336 95749.085938 382873.562500 -14840.035156
2337 95553.460938 380389.000000 -14725.669922
2338 95369.039062 377909.593750 -14619.361328
2339 95200.640625 375427.093750 -14521.022461
2340 95030.140625 372947.531250 -14415.373047
2341 94868.289062 370451.875000 -14302.373047
2342 94715.031250 367962.906250 -14173.976562
2343 94567.960938 365491.343750 -14026.127930
2344 94431.984375 363016.687500 -13866.613281
2345 94304.148438 360565.812500 -13701.865234
2346 94183.648438 358145.656250 -13521.589844
2347 94071.093750 355742.156250 -13321.735352
2348 93978.507812 353379.906250 -13115.479492
2349 93915.226562 351033.218750 -12901.253906
2350 93870.007812 348689.593750 -12682.018555
2351 93871.414062 346370.062500 -12478.366211
2352 93941.976562 344111.406250 -12298.080078
2353 94048.242188 341825.406250 -12171.618164
2354 94188.351562 339564.093750 -12112.553711
2355 94348.859375 337286.718750 -12121.637695
2356 94525.117188 334988.250000 -12197.761719
2357 94701.851562 332609.937500 -12310.470703
2358 94897.250000 330167.843750 -12440.494141
2359 95080.078125 327635.843750 -12544.974609
2360 95296.531250 325070.437500 -12588.456055
2361 95524.164062 322551.406250 -12555.604492
2362 95826.593750 320126.312500 -12519.628906
2363 96166.085938 317762.562500 -12485.052734
2364 96507.671875 315328.906250 -12452.024414
2365 96915.609375 312841.437500 -12415.165039
2366 97345.101562 310417.468750 -12330.125000
2367 97696.070312 308104.875000 -12267.261719
2368 98031.601562 305813.187500 -12271.531250
2369 98375.867188 303490.593750 -12348.318359
2370 98744.921875 301140.187500 -12462.082031
2371 99124.101562 298735.812500 -12577.192383
2372 99494.289062 296349.437500 -12676.274414
2373 99877.906250 293886.687500 -12790.210938
2374 100407.703125 291509.812500 -12907.684570
2375 101102.382812 289225.906250 -13039.921875
2376 102127.492188 287198.562500 -13206.102539
2377 103319.843750 285316.093750 -13367.168945
2378 104655.656250 283438.687500 -13553.038086
2379 106026.046875 281558.312500 -13776.679688
2380 107383.523438 279569.250000 -13916.917969
2381 108957.023438 277979.656250 -14062.353516
2382 110433.546875 276401.750000 -14179.118164
2383 111769.226562 274791.343750 -14343.563477
2384 112126.601562 272467.593750 -14547.941406
2385 112297.906250 269787.781250 -14636.899414
2386 112506.039062 267228.250000 -14648.635742
2387 112715.171875 264721.750000 -14609.955078
2388 112964.882812 262361.875000 -14558.968750
2389 113242.148438 260088.734375 -14540.194336
2390 113543.765625 257873.859375 -14563.175781
2391 113881.046875 255659.484375 -14655.602539
2392 114246.554688 253343.750000 -14798.742188
2393 114446.718750 250809.484375 -14917.073242
2394 114527.179688 248062.953125 -14929.309570
2395 114621.859375 245419.828125 -14847.667969
2396 114662.484375 242912.000000 -14722.728516
2397 114649.218750 240462.515625 -14595.587891
2398 114591.078125 237999.593750 -14493.815430
2399 114641.031250 235554.562500 -14419.453125
2400 115486.507812 233331.718750 -14459.921875
2401 116569.710938 231343.968750 -14559.958984
2402 117546.546875 229274.640625 -14654.885742
2403 118391.218750 227072.156250 -14808.685547
2404 119179.570312 224753.609375 -14946.061523
2405 119888.734375 222363.968750 -15049.371094
2406 120535.750000 219995.015625 -15103.288086
2407 121183.406250 217655.359375 -15168.255859
2408 121804.875000 215322.937500 -15272.126953
2409 122389.125000 212945.656250 -15417.442383
2410 122961.882812 210551.671875 -15563.782227
2411 123530.164062 208134.078125 -15690.650391
2412 124108.039062 205677.203125 -15792.557617
2413 124660.421875 203278.000000 -15867.686523
2414 125181.390625 200906.265625 -15897.373047
2415 125727.234375 198529.015625 -15894.802734
2416 126275.132812 196202.359375 -15839.000977
2417 126816.898438 193871.125000 -15762.562500
2418 127351.507812 191541.187500 -15680.058594
2419 127874.375000 189198.687500 -15623.260742
2420 128397.804688 186834.046875 -15576.979492
2421 128924.820312 184422.781250 -15542.674805
2422 129456.023438 182022.765625 -15517.357422
2423 129998.515625 179611.281250 -15505.864258
2424 130534.937500 177207.312500 -15489.351562
2425 131067.718750 174814.046875 -15450.968750
2426 131605.375000 172438.171875 -15312.504883
2427 132144.640625 170066.578125 -15117.860352
2428 132700.875000 167662.171875 -14890.223633
2429 133285.203125 165230.234375 -14792.237305
2430 133881.640625 162821.968750 -14778.025391
2431 134458.937500 160424.296875 -14839.580078
2432 135005.609375 158040.484375 -14935.833008
2433 135544.218750 155660.781250 -15065.815430
2434 136085.828125 153290.359375 -15211.343750
2435 136623.656250 150928.625000 -15379.469727
2436 137144.531250 148568.968750 -15505.833008
2437 137633.296875 146198.718750 -15627.273438
2438 138096.609375 143835.062500 -15712.842773
2439 138546.265625 141461.828125 -15763.810547
2440 138995.500000 139080.781250 -15765.812500
2441 139468.875000 136700.703125 -15695.624023
2442 139988.875000 134329.500000 -15518.322266
2443 140492.453125 131944.609375 -15380.910156
2444 140974.000000 129553.210938 -15289.508789
2445 141446.796875 127160.367188 -15233.829102
2446 141924.640625 124769.429688 -15210.696289
2447 142416.031250 122382.695312 -15192.775391
2448 142922.515625 120000.000000 -15216.577148
2449 108709.484375 457530.937500 -12257.476562
2450 108960.007812 460000.000000 -12028.381836
2451 108456.992188 455065.375000 -12441.576172
2452 108182.312500 452589.093750 -12629.159180
2453 107897.890625 450101.000000 -12820.816406
2454 107639.546875 447594.906250 -12858.327148
2455 107361.085938 445120.562500 -12922.596680
2456 107057.539062 442650.937500 -13016.134766
2457 106745.289062 440166.843750 -13137.961914
2458 106477.617188 437610.593750 -13168.996094
2459 106223.835938 435099.187500 -13106.117188
2460 105944.578125 432623.593750 -13049.334961
2461 105644.421875 430154.062500 -13003.120117
2462 105291.445312 427742.156250 -13090.160156
2463 104889.421875 425358.062500 -13310.268555
2464 104398.257812 423023.812500 -13693.359375
2465 103862.851562 420673.312500 -14106.749023
2466 103313.632812 418275.906250 -14552.314453
2467 102791.664062 415841.281250 -14937.992188
2468 102345.820312 413322.687500 -15293.252930
2469 101960.242188 410711.812500 -15585.575195
2470 101667.125000 408111.031250 -15772.155273
2471 101384.351562 405540.750000 -15872.191406
2472 101076.406250 403009.343750 -15905.219727
2473 100775.281250 400491.406250 -15934.561523
2474 100499.820312 397969.812500 -15934.084961
2475 100236.164062 395421.250000 -15909.681641
2476 99997.335938 392899.312500 -15850.207031
2477 99763.593750 390398.843750 -15779.701172
2478 99528.960938 387902.812500 -15706.358398
2479 99326.039062 385394.000000 -15630.257812
2480 99132.804688 382879.375000 -15529.064453
2481 98951.031250 380391.593750 -15412.409180
2482 98774.710938 377908.750000 -15296.846680
2483 98604.914062 375425.406250 -15183.474609
2484 98446.351562 372948.000000 -15069.256836
2485 98290.054688 370450.062500 -14934.862305
2486 98142.445312 367958.593750 -14791.947266
2487 98006.734375 365484.218750 -14622.477539
2488 97895.671875 363012.062500 -14439.215820
2489 97771.148438 360563.093750 -14235.452148
2490 97656.117188 358160.062500 -14032.627930
2491 97541.265625 355762.218750 -13822.338867
2492 97440.101562 353409.312500 -13602.073242
2493 97351.617188 351076.843750 -13379.946289
2494 97286.320312 348739.125000 -13160.357422
2495 97268.054688 346418.218750 -12933.415039
2496 97310.718750 344116.968750 -12712.759766
2497 97417.039062 341860.375000 -12532.438477
2498 97566.257812 339597.406250 -12421.813477
2499 97725.156250 337388.437500 -12396.257812
2500 97888.578125 335137.531250 -12476.647461
2501 98044.085938 332814.437500 -12615.894531
2502 98227.539062 330343.937500 -12784.316406
2503 98455.140625 327789.625000 -12911.087891
2504 98713.898438 325205.343750 -12972.424805
2505 99030.765625 322664.250000 -12941.000000
2506 99317.296875 320245.343750 -12864.862305
2507 99638.679688 317844.000000 -12807.976562
2508 99972.117188 315399.562500 -12737.813477
2509 100301.523438 312951.250000 -12636.085938
2510 100608.281250 310587.718750 -12533.317383
2511 100902.609375 308251.468750 -12473.031250
2512 101218.125000 305930.687500 -12478.885742
2513 101571.414062 303578.000000 -12537.036133
2514 101970.312500 301209.843750 -12627.444336
2515 102385.937500 298856.312500 -12722.797852
2516 102817.421875 296506.750000 -12828.102539
2517 103265.585938 294107.531250 -12938.599609
2518 103812.265625 291752.750000 -13081.242188
2519 104511.335938 289465.125000 -13235.989258
2520 105557.648438 287452.718750 -13390.964844
2521 106707.445312 285579.093750 -13531.567383
2522 108109.664062 283729.468750 -13684.010742
2523 109599.796875 281848.437500 -13774.651367
2524 110873.289062 279947.656250 -13837.781250
2525 112230.320312 278340.968750 -13925.878906
2526 113375.554688 276716.968750 -14066.840820
2527 114513.640625 274988.218750 -14331.867188
2528 114893.570312 272619.906250 -14618.108398
2529 115044.281250 269951.093750 -14788.552734
2530 115213.601562 267394.718750 -14834.888672
2531 115361.617188 264927.281250 -14847.761719
2532 115596.343750 262533.125000 -14876.293945
2533 115850.156250 260252.421875 -14903.510742
2534 116114.171875 257992.750000 -14957.049805
2535 116439.812500 255705.578125 -15056.121094
2536 116805.132812 253328.093750 -15182.736328
2537 117014.757812 250799.671875 -15275.068359
2538 117108.570312 248059.546875 -15237.206055
2539 117179.382812 245462.515625 -15113.438477
2540 117234.062500 243007.671875 -14975.598633
2541 117246.609375 240584.078125 -14858.422852
2542 117257.953125 238141.796875 -14765.730469
2543 117323.632812 235713.640625 -14716.599609
2544 118065.468750 233534.234375 -14757.898438
2545 119057.156250 231533.953125 -14872.997070
2546 119941.445312 229457.125000 -15037.736328
2547 120755.132812 227234.187500 -15240.955078
2548 121509.750000 224899.515625 -15439.053711
2549 122199.703125 222483.718750 -15591.942383
2550 122787.625000 220082.671875 -15665.507812
