"ids","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2"
2973,1.4512e+05,1.2477e+05,-16571
2974,1.4558e+05,1.2238e+05,-16536
163,1.4606e+05,1.2e+05,-16520
2975,1.1551e+05,4.5775e+05,-14731
372,1.1595e+05,4.6e+05,-14090
2976,1.1497e+05,4.5542e+05,-15292
2977,1.1441e+05,4.5293e+05,-15761
2978,1.1401e+05,4.5038e+05,-16001
2979,1.1368e+05,4.4791e+05,-16232
2980,1.1333e+05,4.4544e+05,-16463
2981,1.1296e+05,4.4291e+05,-16633
2982,1.126e+05,4.4031e+05,-16710
2983,1.1232e+05,4.3763e+05,-16689
2984,1.1212e+05,4.3499e+05,-16514
2985,1.1195e+05,4.3246e+05,-16225
2986,1.1178e+05,4.3004e+05,-15913
2987,1.115e+05,4.2771e+05,-15711
2988,1.1114e+05,4.254e+05,-15703
2989,1.1076e+05,4.2306e+05,-15819
2990,1.1037e+05,4.2072e+05,-16152
2991,1.0998e+05,4.1838e+05,-16534
2992,1.0955e+05,4.1589e+05,-16955
2993,1.0914e+05,4.1326e+05,-17248
2994,1.0879e+05,4.1067e+05,-17416
2995,1.0843e+05,4.0815e+05,-17506
2996,1.0805e+05,4.056e+05,-17588
2997,1.0774e+05,4.0307e+05,-17631
2998,1.0747e+05,4.0059e+05,-17686
2999,1.0718e+05,3.9809e+05,-17752
3000,1.0688e+05,3.9556e+05,-17798
3001,1.066e+05,3.9299e+05,-17788
3002,1.0635e+05,3.9045e+05,-17732
3003,1.0616e+05,3.879e+05,-17656
3004,1.0599e+05,3.8536e+05,-17538
3005,1.0585e+05,3.8284e+05,-17391
3006,1.0572e+05,3.8034e+05,-17240
3007,1.0558e+05,3.7785e+05,-17060
3008,1.0546e+05,3.7538e+05,-16879
3009,1.0533e+05,3.7291e+05,-16706
3010,1.052e+05,3.7041e+05,-16492
3011,1.0511e+05,3.6791e+05,-16240
3012,1.0503e+05,3.6544e+05,-15924
3013,1.0493e+05,3.6299e+05,-15560
3014,1.0481e+05,3.6059e+05,-15259
3015,1.0468e+05,3.5822e+05,-14995
3016,1.0454e+05,3.5585e+05,-14765
3017,1.0441e+05,3.5353e+05,-14546
3018,1.043e+05,3.5122e+05,-14338
3019,1.0424e+05,3.489e+05,-14129
3020,1.042e+05,3.4658e+05,-13895
3021,1.0422e+05,3.4428e+05,-13636
3022,1.0427e+05,3.4205e+05,-13403
3023,1.0434e+05,3.3981e+05,-13238
3024,1.0441e+05,3.3763e+05,-13202
3025,1.045e+05,3.3539e+05,-13319
3026,1.0461e+05,3.3311e+05,-13505
3027,1.0475e+05,3.306e+05,-13695
3028,1.0494e+05,3.2799e+05,-13815
3029,1.0516e+05,3.254e+05,-13836
3030,1.0539e+05,3.2289e+05,-13769
3031,1.0564e+05,3.2042e+05,-13652
3032,1.0593e+05,3.1798e+05,-13523
3033,1.0622e+05,3.1559e+05,-13378
3034,1.0645e+05,3.1325e+05,-13258
3035,1.0666e+05,3.1089e+05,-13192
3036,1.0687e+05,3.085e+05,-13148
3037,1.0717e+05,3.0606e+05,-13108
3038,1.0756e+05,3.0361e+05,-13071
3039,1.0801e+05,3.0117e+05,-13016
3040,1.0849e+05,2.9878e+05,-12959
3041,1.0904e+05,2.9648e+05,-12843
3042,1.0959e+05,2.9425e+05,-12801
3043,1.1019e+05,2.9199e+05,-12894
3044,1.1091e+05,2.8972e+05,-13014
3045,1.1193e+05,2.8756e+05,-13038
3046,1.1304e+05,2.8563e+05,-12914
3047,1.1415e+05,2.8377e+05,-12807
3048,1.1519e+05,2.8192e+05,-12799
3049,1.1612e+05,2.8008e+05,-13038
3050,1.1722e+05,2.7845e+05,-13453
3051,1.1828e+05,2.7671e+05,-13941
3052,1.194e+05,2.7488e+05,-14407
3053,1.1991e+05,2.7258e+05,-14737
3054,1.2011e+05,2.7012e+05,-14962
3055,1.2028e+05,2.6767e+05,-15142
3056,1.2044e+05,2.6525e+05,-15303
3057,1.2064e+05,2.6286e+05,-15440
3058,1.2091e+05,2.6055e+05,-15571
3059,1.2117e+05,2.5821e+05,-15720
3060,1.2146e+05,2.5584e+05,-15846
3061,1.2177e+05,2.5341e+05,-15957
3062,1.2191e+05,2.5087e+05,-15999
3063,1.2192e+05,2.482e+05,-15913
3064,1.2192e+05,2.456e+05,-15731
3065,1.2197e+05,2.4315e+05,-15541
3066,1.22e+05,2.4072e+05,-15373
3067,1.2202e+05,2.3831e+05,-15241
3068,1.221e+05,2.3597e+05,-15209
3069,1.2278e+05,2.3382e+05,-15337
3070,1.2372e+05,2.3183e+05,-15589
3071,1.2462e+05,2.2968e+05,-15873
3072,1.2543e+05,2.2742e+05,-16135
3073,1.2615e+05,2.2511e+05,-16399
3074,1.2678e+05,2.2269e+05,-16604
3075,1.2733e+05,2.2027e+05,-16740
3076,1.2791e+05,2.1785e+05,-16864
3077,1.2849e+05,2.1543e+05,-16968
3078,1.2904e+05,2.1301e+05,-17059
3079,1.2956e+05,2.106e+05,-17132
3080,1.3009e+05,2.082e+05,-17211
3081,1.3063e+05,2.0578e+05,-17309
3082,1.3117e+05,2.0339e+05,-17416
3083,1.3168e+05,2.0103e+05,-17505
3084,1.322e+05,1.9866e+05,-17571
3085,1.3272e+05,1.9633e+05,-17605
3086,1.3324e+05,1.9398e+05,-17600
3087,1.3374e+05,1.9163e+05,-17567
3088,1.3422e+05,1.8927e+05,-17524
3089,1.347e+05,1.8689e+05,-17485
3090,1.3517e+05,1.8448e+05,-17458
3091,1.3565e+05,1.8208e+05,-17414
3092,1.3614e+05,1.7967e+05,-17373
3093,1.3664e+05,1.7731e+05,-17249
3094,1.3711e+05,1.7501e+05,-17023
3095,1.3764e+05,1.7278e+05,-16573
3096,1.3823e+05,1.7036e+05,-16120
3097,1.388e+05,1.6771e+05,-15898
3098,1.3934e+05,1.6513e+05,-16008
3099,1.3982e+05,1.6278e+05,-16161
3100,1.4029e+05,1.605e+05,-16249
3101,1.4074e+05,1.5814e+05,-16230
3102,1.4121e+05,1.5566e+05,-16271
3103,1.4169e+05,1.5313e+05,-16532
3104,1.4218e+05,1.5077e+05,-16915
3105,1.4259e+05,1.4848e+05,-17244
3106,1.4297e+05,1.4617e+05,-17505
3107,1.4335e+05,1.4383e+05,-17655
3108,1.4373e+05,1.4146e+05,-17725
3109,1.4413e+05,1.3909e+05,-17727
3110,1.4455e+05,1.3671e+05,-17675
3111,1.4498e+05,1.3432e+05,-17603
3112,1.4541e+05,1.3194e+05,-17504
3113,1.4584e+05,1.2955e+05,-17413
3114,1.4627e+05,1.2716e+05,-17336
3115,1.467e+05,1.2477e+05,-17278
3116,1.4714e+05,1.2238e+05,-17253
164,1.4762e+05,1.2e+05,-17192
3117,1.1893e+05,4.5785e+05,-15982
373,1.1941e+05,4.6e+05,-15247
3118,1.1834e+05,4.5578e+05,-16804
3119,1.1762e+05,4.533e+05,-17489
3120,1.17e+05,4.506e+05,-17882
3121,1.1658e+05,4.4805e+05,-18080
3122,1.1626e+05,4.4556e+05,-18279
3123,1.1588e+05,4.4308e+05,-18462
3124,1.1548e+05,4.4043e+05,-18598
3125,1.1517e+05,4.3772e+05,-18580
3126,1.1496e+05,4.3495e+05,-18393
3127,1.1479e+05,4.3242e+05,-18095
3128,1.1458e+05,4.3003e+05,-17789
3129,1.1432e+05,4.2772e+05,-17600
3130,1.1402e+05,4.254e+05,-17551
3131,1.1374e+05,4.2295e+05,-17585
3132,1.1353e+05,4.2055e+05,-17650
3133,1.1324e+05,4.1823e+05,-17882
3134,1.1288e+05,4.1583e+05,-18168
3135,1.125e+05,4.1325e+05,-18399
3136,1.121e+05,4.1067e+05,-18516
3137,1.1173e+05,4.082e+05,-18629
3138,1.1138e+05,4.0565e+05,-18748
3139,1.1113e+05,4.0305e+05,-18806
3140,1.109e+05,4.0057e+05,-18814
3141,1.1065e+05,3.9812e+05,-18870
3142,1.1036e+05,3.9561e+05,-18940
3143,1.1004e+05,3.9307e+05,-18990
3144,1.0975e+05,3.905e+05,-18970
3145,1.0951e+05,3.8792e+05,-18898
3146,1.0934e+05,3.8531e+05,-18748
3147,1.0922e+05,3.8279e+05,-18570
3148,1.0912e+05,3.803e+05,-18339
3149,1.0902e+05,3.7782e+05,-18111
3150,1.0892e+05,3.7533e+05,-17846
3151,1.0883e+05,3.7287e+05,-17611
3152,1.0877e+05,3.7038e+05,-17297
3153,1.0871e+05,3.6788e+05,-16880
3154,1.0861e+05,3.6547e+05,-16416
3155,1.085e+05,3.6308e+05,-15964
3156,1.0836e+05,3.6069e+05,-15605
3157,1.0822e+05,3.5832e+05,-15368
3158,1.0807e+05,3.5595e+05,-15222
3159,1.0792e+05,3.5362e+05,-15050
3160,1.0779e+05,3.513e+05,-14841
3161,1.077e+05,3.4899e+05,-14606
3162,1.0766e+05,3.4668e+05,-14352
3163,1.0766e+05,3.4441e+05,-14077
3164,1.0769e+05,3.4215e+05,-13821
3165,1.0775e+05,3.3994e+05,-13665
3166,1.0783e+05,3.3777e+05,-13634
3167,1.0793e+05,3.3553e+05,-13766
3168,1.0806e+05,3.3323e+05,-13980
3169,1.0822e+05,3.3076e+05,-14200
3170,1.0836e+05,3.2818e+05,-14352
3171,1.0851e+05,3.2559e+05,-14386
3172,1.0868e+05,3.2305e+05,-14318
3173,1.0889e+05,3.2055e+05,-14198
3174,1.0912e+05,3.1811e+05,-14037
3175,1.093e+05,3.1576e+05,-13884
3176,1.0943e+05,3.1348e+05,-13784
3177,1.0953e+05,3.1115e+05,-13752
3178,1.0966e+05,3.0868e+05,-13768
3179,1.0988e+05,3.0615e+05,-13701
3180,1.1025e+05,3.0359e+05,-13616
3181,1.1067e+05,3.0106e+05,-13513
3182,1.1127e+05,2.9866e+05,-13250
3183,1.1186e+05,2.9644e+05,-12921
3184,1.1245e+05,2.9421e+05,-12736
3185,1.1307e+05,2.9195e+05,-12723
3186,1.1378e+05,2.8966e+05,-12706
3187,1.1466e+05,2.8754e+05,-12568
3188,1.1555e+05,2.8564e+05,-12405
3189,1.1651e+05,2.8374e+05,-12304
3190,1.1753e+05,2.8178e+05,-12427
3191,1.1855e+05,2.7987e+05,-12916
3192,1.1969e+05,2.7821e+05,-13529
3193,1.2081e+05,2.7651e+05,-14123
3194,1.2196e+05,2.7474e+05,-14561
3195,1.2243e+05,2.7254e+05,-14856
3196,1.2262e+05,2.7015e+05,-15094
3197,1.2279e+05,2.6776e+05,-15359
3198,1.2294e+05,2.6533e+05,-15578
3199,1.2313e+05,2.6296e+05,-15801
3200,1.2337e+05,2.6063e+05,-15970
3201,1.2363e+05,2.5828e+05,-16141
3202,1.239e+05,2.5589e+05,-16276
3203,1.242e+05,2.5346e+05,-16391
3204,1.2433e+05,2.5093e+05,-16415
3205,1.2432e+05,2.4831e+05,-16331
3206,1.2432e+05,2.4569e+05,-16151
3207,1.2432e+05,2.4322e+05,-15939
3208,1.2434e+05,2.4079e+05,-15755
3209,1.2437e+05,2.3839e+05,-15605
3210,1.2446e+05,2.3606e+05,-15561
3211,1.2518e+05,2.3393e+05,-15732
3212,1.2614e+05,2.3189e+05,-15991
3213,1.2705e+05,2.2974e+05,-16252
3214,1.2788e+05,2.2752e+05,-16544
3215,1.2858e+05,2.2523e+05,-16824
3216,1.2921e+05,2.2282e+05,-17079
3217,1.2976e+05,2.2037e+05,-17263
3218,1.3031e+05,2.1794e+05,-17405
3219,1.3086e+05,2.155e+05,-17522
3220,1.3137e+05,2.1307e+05,-17612
3221,1.3187e+05,2.1066e+05,-17715
3222,1.3236e+05,2.0826e+05,-17806
3223,1.3287e+05,2.0582e+05,-17918
3224,1.3339e+05,2.0344e+05,-18038
3225,1.3388e+05,2.0107e+05,-18137
3226,1.3438e+05,1.987e+05,-18215
3227,1.3488e+05,1.9637e+05,-18255
3228,1.3538e+05,1.9401e+05,-18252
3229,1.3586e+05,1.9166e+05,-18216
3230,1.3632e+05,1.893e+05,-18172
3231,1.3679e+05,1.8692e+05,-18136
3232,1.3725e+05,1.845e+05,-18113
3233,1.3771e+05,1.821e+05,-18067
3234,1.382e+05,1.7972e+05,-17997
3235,1.3868e+05,1.7737e+05,-17840
3236,1.392e+05,1.7513e+05,-17537
3237,1.3979e+05,1.7287e+05,-17112
3238,1.4048e+05,1.704e+05,-16712
3239,1.4108e+05,1.6778e+05,-16599
3240,1.415e+05,1.6519e+05,-16675
3241,1.419e+05,1.6286e+05,-16780
3242,1.4228e+05,1.6058e+05,-16815
3243,1.4272e+05,1.5822e+05,-16740
3244,1.4317e+05,1.5567e+05,-16753
3245,1.4362e+05,1.5305e+05,-17050
3246,1.4403e+05,1.507e+05,-17496
3247,1.444e+05,1.4844e+05,-17909
3248,1.4475e+05,1.4616e+05,-18173
3249,1.4511e+05,1.4383e+05,-18337
3250,1.4547e+05,1.4147e+05,-18403
3251,1.4585e+05,1.3909e+05,-18411
3252,1.4624e+05,1.3671e+05,-18375
3253,1.4664e+05,1.3433e+05,-18309
3254,1.4705e+05,1.3194e+05,-18228
3255,1.4745e+05,1.2954e+05,-18148
3256,1.4787e+05,1.2716e+05,-18058
3257,1.4829e+05,1.2477e+05,-17991
3258,1.4872e+05,1.2238e+05,-17921
165,1.4917e+05,1.2e+05,-17872
3259,1.2224e+05,4.578e+05,-17366
374,1.2272e+05,4.6e+05,-16777
3260,1.2169e+05,4.5579e+05,-18182
3261,1.2103e+05,4.5362e+05,-19089
3262,1.2028e+05,4.5095e+05,-19774
3263,1.197e+05,4.4819e+05,-20065
3264,1.1927e+05,4.4567e+05,-20214
3265,1.1886e+05,4.4322e+05,-20397
3266,1.1842e+05,4.406e+05,-20536
3267,1.1803e+05,4.3781e+05,-20545
3268,1.1772e+05,4.3501e+05,-20333
3269,1.1748e+05,4.3245e+05,-20024
3270,1.1727e+05,4.3004e+05,-19747
3271,1.1705e+05,4.2769e+05,-19552
3272,1.1685e+05,4.2529e+05,-19437
3273,1.1665e+05,4.2278e+05,-19364
3274,1.1646e+05,4.2036e+05,-19263
3275,1.1628e+05,4.1803e+05,-19254
3276,1.1606e+05,4.1567e+05,-19412
3277,1.1577e+05,4.132e+05,-19589
3278,1.1544e+05,4.107e+05,-19712
3279,1.151e+05,4.0821e+05,-19842
3280,1.1482e+05,4.0559e+05,-19951
3281,1.1458e+05,4.0298e+05,-19952
3282,1.1435e+05,4.0054e+05,-19916
3283,1.1409e+05,3.9813e+05,-19957
3284,1.138e+05,3.9566e+05,-20051
3285,1.1352e+05,3.9313e+05,-20143
3286,1.1325e+05,3.9056e+05,-20193
3287,1.1301e+05,3.8792e+05,-20168
3288,1.128e+05,3.8529e+05,-20014
3289,1.1266e+05,3.8273e+05,-19780
3290,1.1255e+05,3.8024e+05,-19505
3291,1.1245e+05,3.7776e+05,-19193
3292,1.1237e+05,3.7529e+05,-18845
3293,1.1232e+05,3.7282e+05,-18471
3294,1.1225e+05,3.7036e+05,-18025
3295,1.1218e+05,3.6794e+05,-17483
3296,1.1208e+05,3.656e+05,-16853
3297,1.1196e+05,3.6324e+05,-16251
3298,1.1182e+05,3.6081e+05,-15810
3299,1.1166e+05,3.5839e+05,-15606
3300,1.1151e+05,3.5602e+05,-15558
3301,1.1136e+05,3.5371e+05,-15467
3302,1.1122e+05,3.5141e+05,-15344
3303,1.111e+05,3.491e+05,-15125
3304,1.1102e+05,3.4681e+05,-14863
3305,1.1099e+05,3.4454e+05,-14587
3306,1.1098e+05,3.423e+05,-14325
3307,1.11e+05,3.4008e+05,-14166
3308,1.1108e+05,3.3784e+05,-14146
3309,1.1124e+05,3.3554e+05,-14208
3310,1.1146e+05,3.3324e+05,-14398
3311,1.1171e+05,3.3082e+05,-14543
3312,1.119e+05,3.2836e+05,-14710
3313,1.1202e+05,3.2584e+05,-14803
3314,1.1209e+05,3.233e+05,-14810
3315,1.1219e+05,3.2079e+05,-14719
3316,1.123e+05,3.1836e+05,-14592
3317,1.1239e+05,3.1605e+05,-14483
3318,1.1243e+05,3.1382e+05,-14472
3319,1.1243e+05,3.115e+05,-14585
3320,1.124e+05,3.0899e+05,-14721
3321,1.1256e+05,3.0627e+05,-14726
3322,1.1293e+05,3.0358e+05,-14631
3323,1.1351e+05,3.0094e+05,-14335
3324,1.1414e+05,2.9858e+05,-13831
3325,1.1473e+05,2.9643e+05,-13352
3326,1.1525e+05,2.9426e+05,-12914
3327,1.158e+05,2.9198e+05,-12669
3328,1.164e+05,2.8975e+05,-12485
3329,1.1715e+05,2.8771e+05,-12250
3330,1.1796e+05,2.8576e+05,-12000
3331,1.1895e+05,2.8368e+05,-11926
3332,1.201e+05,2.8147e+05,-12345
3333,1.2116e+05,2.7958e+05,-13128
3334,1.223e+05,2.7798e+05,-13832
3335,1.2342e+05,2.7635e+05,-14344
3336,1.2454e+05,2.7466e+05,-14731
3337,1.2498e+05,2.7253e+05,-15038
3338,1.2514e+05,2.7017e+05,-15369
3339,1.2527e+05,2.678e+05,-15696
3340,1.2539e+05,2.6541e+05,-15995
3341,1.2555e+05,2.6303e+05,-16240
3342,1.2577e+05,2.6069e+05,-16457
3343,1.26e+05,2.5833e+05,-16623
3344,1.2626e+05,2.5593e+05,-16762
3345,1.2656e+05,2.5349e+05,-16859
3346,1.2669e+05,2.5097e+05,-16879
3347,1.267e+05,2.484e+05,-16778
3348,1.2671e+05,2.4579e+05,-16601
3349,1.2669e+05,2.4331e+05,-16387
3350,1.267e+05,2.4086e+05,-16187
3351,1.2673e+05,2.3845e+05,-16028
3352,1.2684e+05,2.3611e+05,-15963
3353,1.2759e+05,2.3396e+05,-16096
3354,1.286e+05,2.3192e+05,-16323
3355,1.2952e+05,2.298e+05,-16562
3356,1.3033e+05,2.2759e+05,-16846
3357,1.3104e+05,2.2531e+05,-17169
3358,1.3166e+05,2.229e+05,-17460
3359,1.3219e+05,2.2047e+05,-17709
3360,1.3272e+05,2.18e+05,-17885
3361,1.3323e+05,2.1558e+05,-18024
3362,1.3369e+05,2.1315e+05,-18172
3363,1.3415e+05,2.1073e+05,-18277
3364,1.3461e+05,2.0831e+05,-18405
3365,1.351e+05,2.0587e+05,-18538
3366,1.3558e+05,2.0347e+05,-18658
3367,1.3605e+05,2.0111e+05,-18774
3368,1.3653e+05,1.9873e+05,-18863
3369,1.3702e+05,1.964e+05,-18900
3370,1.375e+05,1.9405e+05,-18896
3371,1.3797e+05,1.9169e+05,-18855
3372,1.3841e+05,1.8933e+05,-18830
3373,1.3886e+05,1.8695e+05,-18806
3374,1.393e+05,1.8453e+05,-18778
3375,1.3975e+05,1.8213e+05,-18728
3376,1.4023e+05,1.7976e+05,-18633
3377,1.4071e+05,1.7744e+05,-18465
3378,1.4128e+05,1.7518e+05,-18166
3379,1.4196e+05,1.7285e+05,-17822
3380,1.4265e+05,1.7037e+05,-17620
3381,1.4319e+05,1.6783e+05,-17540
3382,1.4356e+05,1.6532e+05,-17562
3383,1.4391e+05,1.6299e+05,-17540
3384,1.4427e+05,1.6071e+05,-17452
3385,1.447e+05,1.5831e+05,-17327
3386,1.4516e+05,1.5568e+05,-17314
3387,1.4557e+05,1.5298e+05,-17647
3388,1.459e+05,1.5064e+05,-18136
3389,1.462e+05,1.4841e+05,-18564
3390,1.4652e+05,1.4614e+05,-18852
3391,1.4685e+05,1.4383e+05,-19019
3392,1.4719e+05,1.4147e+05,-19083
3393,1.4755e+05,1.391e+05,-19093
3394,1.4791e+05,1.3671e+05,-19079
3395,1.4829e+05,1.3433e+05,-19018
3396,1.4868e+05,1.3194e+05,-18951
3397,1.4906e+05,1.2955e+05,-18864
3398,1.4945e+05,1.2715e+05,-18778
3399,1.4986e+05,1.2477e+05,-18697
3400,1.5028e+05,1.2238e+05,-18629
166,1.5072e+05,1.2e+05,-18559
3401,1.2529e+05,4.5771e+05,-19182
375,1.2579e+05,4.6e+05,-18741
3402,1.2472e+05,4.5559e+05,-19821
3403,1.2416e+05,4.5344e+05,-20606
3404,1.2356e+05,4.5104e+05,-21386
3405,1.2295e+05,4.4835e+05,-21895
3406,1.2242e+05,4.4578e+05,-22154
3407,1.2197e+05,4.4332e+05,-22373
3408,1.2149e+05,4.4074e+05,-22552
3409,1.2098e+05,4.3797e+05,-22594
3410,1.2055e+05,4.3525e+05,-22438
3411,1.2017e+05,4.326e+05,-22153
3412,1.1986e+05,4.3007e+05,-21847
3413,1.1966e+05,4.2761e+05,-21621
3414,1.195e+05,4.2515e+05,-21446
3415,1.1933e+05,4.2266e+05,-21237
3416,1.1915e+05,4.2022e+05,-21017
3417,1.1897e+05,4.1786e+05,-20869
3418,1.1879e+05,4.155e+05,-20879
3419,1.1863e+05,4.1306e+05,-20864
3420,1.1838e+05,4.1062e+05,-20919
3421,1.1813e+05,4.0814e+05,-21011
3422,1.1787e+05,4.0555e+05,-21078
3423,1.1766e+05,4.0297e+05,-21004
3424,1.1744e+05,4.0052e+05,-20991
3425,1.1723e+05,3.9808e+05,-21001
3426,1.1701e+05,3.9559e+05,-21102
3427,1.1682e+05,3.9306e+05,-21191
3428,1.1666e+05,3.905e+05,-21216
3429,1.1649e+05,3.879e+05,-21184
3430,1.1629e+05,3.8532e+05,-21046
3431,1.1611e+05,3.8277e+05,-20828
3432,1.1594e+05,3.8027e+05,-20526
3433,1.1582e+05,3.7777e+05,-20172
3434,1.1573e+05,3.753e+05,-19752
3435,1.1567e+05,3.7287e+05,-19249
3436,1.1561e+05,3.7047e+05,-18697
3437,1.1553e+05,3.6812e+05,-18084
3438,1.1546e+05,3.658e+05,-17425
3439,1.1536e+05,3.6344e+05,-16782
3440,1.1525e+05,3.6098e+05,-16249
3441,1.1507e+05,3.5849e+05,-15958
3442,1.1485e+05,3.5606e+05,-15837
3443,1.1468e+05,3.5377e+05,-15818
3444,1.1453e+05,3.5151e+05,-15750
3445,1.144e+05,3.4923e+05,-15631
3446,1.1428e+05,3.4697e+05,-15432
3447,1.142e+05,3.4471e+05,-15182
3448,1.1416e+05,3.4246e+05,-14944
3449,1.1418e+05,3.4019e+05,-14778
3450,1.1428e+05,3.3789e+05,-14687
3451,1.1447e+05,3.3551e+05,-14661
3452,1.1474e+05,3.3317e+05,-14592
3453,1.1497e+05,3.3084e+05,-14622
3454,1.1514e+05,3.2848e+05,-14759
3455,1.1523e+05,3.2604e+05,-14940
3456,1.153e+05,3.2359e+05,-15099
3457,1.1538e+05,3.2112e+05,-15180
3458,1.154e+05,3.1867e+05,-15152
3459,1.1544e+05,3.1637e+05,-15139
3460,1.1547e+05,3.1418e+05,-15304
3461,1.1541e+05,3.1189e+05,-15554
3462,1.1537e+05,3.0934e+05,-15879
3463,1.1555e+05,3.0641e+05,-15991
3464,1.1602e+05,3.036e+05,-15849
3465,1.1657e+05,3.0102e+05,-15337
3466,1.171e+05,2.9874e+05,-14657
3467,1.1758e+05,2.9667e+05,-13982
3468,1.1803e+05,2.9451e+05,-13413
3469,1.1852e+05,2.9226e+05,-12926
3470,1.1905e+05,2.901e+05,-12505
3471,1.1971e+05,2.8812e+05,-12112
3472,1.2052e+05,2.8603e+05,-11765
3473,1.2158e+05,2.8345e+05,-11846
3474,1.2277e+05,2.8126e+05,-12564
3475,1.2376e+05,2.7935e+05,-13412
3476,1.2485e+05,2.7777e+05,-14065
3477,1.2597e+05,2.762e+05,-14554
3478,1.2708e+05,2.7457e+05,-14926
3479,1.275e+05,2.7251e+05,-15382
3480,1.276e+05,2.7019e+05,-15789
3481,1.277e+05,2.6785e+05,-16174
3482,1.2777e+05,2.6547e+05,-16523
3483,1.279e+05,2.631e+05,-16797
3484,1.2809e+05,2.6074e+05,-17026
3485,1.2831e+05,2.5837e+05,-17197
3486,1.2856e+05,2.5596e+05,-17326
3487,1.2887e+05,2.535e+05,-17394
3488,1.2903e+05,2.51e+05,-17371
3489,1.2907e+05,2.4843e+05,-17261
3490,1.2908e+05,2.459e+05,-17071
3491,1.2909e+05,2.434e+05,-16856
3492,1.291e+05,2.4095e+05,-16642
3493,1.2913e+05,2.3852e+05,-16462
3494,1.2924e+05,2.3615e+05,-16371
3495,1.3001e+05,2.3396e+05,-16465
3496,1.3099e+05,2.3192e+05,-16638
3497,1.3189e+05,2.298e+05,-16843
3498,1.327e+05,2.276e+05,-17141
3499,1.3342e+05,2.2533e+05,-17479
3500,1.3405e+05,2.2294e+05,-17801
3501,1.3458e+05,2.2053e+05,-18061
3502,1.3508e+05,2.1808e+05,-18277
3503,1.3553e+05,2.1565e+05,-18468
3504,1.3596e+05,2.1322e+05,-18665
3505,1.3637e+05,2.1079e+05,-18842
3506,1.3681e+05,2.0837e+05,-18984
3507,1.3728e+05,2.0591e+05,-19137
3508,1.3774e+05,2.0352e+05,-19285
3509,1.3819e+05,2.0114e+05,-19408
3510,1.3866e+05,1.9877e+05,-19497
3511,1.3913e+05,1.9644e+05,-19531
3512,1.396e+05,1.9408e+05,-19529
3513,1.4005e+05,1.9173e+05,-19501
3514,1.4047e+05,1.8936e+05,-19490
3515,1.409e+05,1.8697e+05,-19471
3516,1.4132e+05,1.8455e+05,-19452
3517,1.4177e+05,1.8216e+05,-19404
3518,1.4224e+05,1.798e+05,-19303
3519,1.4273e+05,1.7748e+05,-19135
3520,1.4329e+05,1.7515e+05,-18920
3521,1.4396e+05,1.7275e+05,-18708
3522,1.446e+05,1.7031e+05,-18647
3523,1.4509e+05,1.6786e+05,-18585
3524,1.4551e+05,1.6546e+05,-18491
3525,1.4584e+05,1.6313e+05,-18395
3526,1.4622e+05,1.6084e+05,-18209
3527,1.4669e+05,1.5839e+05,-18032
3528,1.4717e+05,1.5568e+05,-18020
3529,1.4751e+05,1.5296e+05,-18380
3530,1.4776e+05,1.5062e+05,-18859
3531,1.4799e+05,1.4839e+05,-19282
3532,1.4826e+05,1.4614e+05,-19550
3533,1.4857e+05,1.4383e+05,-19705
3534,1.4889e+05,1.4147e+05,-19770
3535,1.4923e+05,1.391e+05,-19784
3536,1.4957e+05,1.3671e+05,-19778
3537,1.4992e+05,1.3433e+05,-19738
3538,1.5029e+05,1.3194e+05,-19669
3539,1.5066e+05,1.2955e+05,-19592
3540,1.5104e+05,1.2715e+05,-19504
3541,1.5142e+05,1.2477e+05,-19430
3542,1.5184e+05,1.2238e+05,-19325
167,1.5227e+05,1.2e+05,-19251
3543,1.2806e+05,4.5765e+05,-21394
376,1.2854e+05,4.6e+05,-21123
3544,1.2748e+05,4.5541e+05,-21869
3545,1.2686e+05,4.532e+05,-22475
3546,1.2632e+05,4.5083e+05,-23082
3547,1.2578e+05,4.4833e+05,-23616
3548,1.2532e+05,4.458e+05,-23973
3549,1.2491e+05,4.4328e+05,-24247
3550,1.2449e+05,4.4077e+05,-24483
3551,1.2402e+05,4.3818e+05,-24628
3552,1.2348e+05,4.3551e+05,-24579
3553,1.2296e+05,4.3283e+05,-24408
3554,1.2261e+05,4.3015e+05,-24178
3555,1.224e+05,4.2755e+05,-23912
3556,1.2223e+05,4.2509e+05,-23654
3557,1.22e+05,4.2265e+05,-23371
3558,1.2177e+05,4.2019e+05,-23086
3559,1.2158e+05,4.1776e+05,-22849
3560,1.2145e+05,4.1533e+05,-22685
3561,1.2127e+05,4.1293e+05,-22561
3562,1.2107e+05,4.1054e+05,-22527
3563,1.2084e+05,4.0809e+05,-22537
3564,1.2061e+05,4.0554e+05,-22536
3565,1.2041e+05,4.0296e+05,-22469
3566,1.2023e+05,4.0048e+05,-22399
3567,1.201e+05,3.9801e+05,-22365
3568,1.1994e+05,3.9549e+05,-22374
3569,1.1983e+05,3.9295e+05,-22330
3570,1.1971e+05,3.9041e+05,-22262
3571,1.1961e+05,3.8788e+05,-22132
3572,1.1945e+05,3.8538e+05,-22019
3573,1.1931e+05,3.8286e+05,-21825
3574,1.1918e+05,3.8035e+05,-21563
3575,1.1908e+05,3.7785e+05,-21201
